dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.329450845718384,0,397079,12981,209601,410,450561.3125,14297.014925373134,1.6275179386138916,118833,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.506006717681885,0,397780,12981,210266,410,465037.625,16366.264925373134,1.6194725036621094,119494,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0365002155303955,0,325,275,134,129,325.0,275.0,0.6581001281738281,625,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1079089641571045,0,1575,1525,766,208,1575.0,1525.0,0.8207755088806152,1100,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.444520235061645,0,7825,4650,3909,208,7825.0,4650.0,0.9627997875213623,1675,68406
thyroid_hypothyroid,hypothyroid,2,0.0181624889373779,0,412,228,189,167,412.0,239.55555555555554,0.068206787109375,925,596
thyroid_hypothyroid,hypothyroid,3,0.0469367504119873,0,1572,908,1041,346,1483.7777777777778,1231.4814814814815,0.02561354637145996,1393,6580
thyroid_hypothyroid,hypothyroid,5,0.4136273860931396,0,10140,9476,9130,636,11834.340740740741,11512.735802469137,0.03562808036804199,2028,331212
grammatical_a3,1,2,0.4446074962615967,0,22101,1004,21471,604,22101.0,969.9816176470588,3.3409767150878906,243951,709837
grammatical_a3,1,3,0.5421991348266602,0,27295,3280,26664,661,27487.4556509299,3996.315651260504,3.6564693450927734,252520,281569472
grammatical_a3,1,5,1.7139148712158203,0,44206,19651,43575,679,62251.59907010014,38513.38086484594,3.7674076557159424,259010,19886491853720
crx,positive,2,0.0288951396942138,0,1387,346,572,261,1387.0,381.3333333333333,0.05167412757873535,3121,1892
crx,positive,3,0.0496485233306884,0,2614,496,1505,392,1767.404761904762,899.8888888888889,0.04848885536193848,3796,37882
crx,positive,5,0.0535855293273925,0,2777,582,1661,460,1836.8619047619047,2257.3506944444443,0.05436587333679199,4186,6508884
GermanCredit_UCI_,2,2,0.0512645244598388,0,2776,802,1352,258,2776.0,913.2833333333333,0.06901884078979492,5550,2851
GermanCredit_UCI_,2,3,0.1545729637145996,0,8012,2300,4861,374,10231.191666666668,4421.5,0.0921168327331543,7482,70376
GermanCredit_UCI_,2,5,0.3176074028015136,0,12278,4777,7969,472,15722.793333333333,15630.968611111111,0.10030865669250488,8160,18545216
pc1,2,2,0.0539095401763916,0,2850,291,806,329,2850.0,376.25,0.06759810447692871,5625,2851
pc1,2,3,0.0753891468048095,0,4023,1214,1963,484,3342.5,1258.9583333333333,0.07725715637207031,6260,70376
pc1,2,5,0.5407395362854004,0,15329,12234,13269,671,10487.5625,18232.145833333332,0.08797144889831543,7039,18545216
mfeat-pixel,8,2,0.8318591117858887,0,35318,3460,29578,901,35318.0,3338.1790591805766,5.564287424087524,428221,1358777
mfeat-pixel,8,3,2.407922744750977,0,100525,16712,94785,1346,68723.25937339496,22292.073849266566,6.450490713119507,453886,745969673
mfeat-pixel,8,5,50.60199451446533,0,321454,162385,315714,1672,798470.4907550077,595559.2795902883,6.656425714492798,472181,100992507946877
hv_noise,0,2,1.3348658084869385,0,80200,20200,26173,422,80200.0,20200.0,1.6432435512542725,160000,80201
hv_noise,0,3,21.407438039779663,0,727000,667000,349573,700,727000.0,667000.0,2.0118095874786377,199200,10667001
image,WINDOW,2,0.0483570098876953,0,1962,245,835,281,1962.0,323.8392857142857,0.06737446784973145,4341,2557
image,WINDOW,3,0.0580697059631347,0,2587,503,1460,392,2232.962962962963,605.7916666666666,0.06868815422058105,4823,59712
