dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,2.609743356704712,0,7825,4650,0,0,7825.0,4650.0,0.679589033126831,6625,68406
ionosphere,b,2,0.1509122848510742,0,8256,297,3571,357,8256.0,314.88,0.15324687957763672,12828,8257
ionosphere,b,3,0.1650304794311523,0,8855,354,4169,409,8637.866666666667,486.61333333333334,0.1439502239227295,13165,349633
ionosphere,b,5,0.1580078601837158,0,8882,356,4196,410,8359.466666666667,491.94666666666666,0.1426372528076172,13083,275584033
grammatical_b7,1,2,0.7121822834014893,0,33569,1007,32734,919,33569.0,1193.4,0.4673786163330078,26584,701521
grammatical_b7,1,3,0.8723561763763428,0,41773,8054,40937,1067,38383.1875,9904.2,0.64599609375,27257,276633905
grammatical_b7,1,5,59.53871941566467,0,359011,321335,358175,1134,33849.18125,335603.31125,0.6633636951446533,27615,19308438255017
wine_quality,4,2,0.043473482131958,0,1081,599,440,237,1081.0,573.39,0.08226513862609863,4546,1082
wine_quality,4,3,0.1628041267395019,0,4624,912,3187,312,5714.6375,1031.1666666666667,0.10108017921447754,6845,16262
wine_quality,4,5,0.169086217880249,0,4831,1033,3385,322,6186.2525,1347.1368333333332,0.10535979270935059,7047,1550201
VehicleCouponRecommendation,0,2,0.1729881763458252,0,4186,1063,1798,308,4186.0,1000.545,0.15425825119018555,9091,4187
VehicleCouponRecommendation,0,3,0.4390475749969482,0,11991,3513,6068,415,12595.916666666666,4228.77,0.20972061157226562,11215,125672
VehicleCouponRecommendation,0,5,1.2697830200195312,0,22426,11273,11580,474,19340.4290625,24109.813000000002,0.19801068305969238,11785,49302800
auto7_2,class3,2,0.0196931362152099,0,780,643,348,218,780.0,646.815,0.049957990646362305,3839,781
auto7_2,class3,3,0.1436781883239746,0,6167,1293,3364,328,6873.34375,1855.295,0.0810854434967041,6885,9920
auto7_2,class3,5,0.1570415496826172,0,6678,1522,3807,352,8209.4065625,2152.241,0.08822917938232422,7338,667928
wave,0,2,0.1310305595397949,0,3570,492,1701,413,3570.0,523.74,0.11924505233764648,8384,3571
wave,0,3,0.1651613712310791,0,4748,673,2867,413,5103.7,703.08,0.13686227798461914,9390,98855
wave,0,5,0.1656312942504882,0,4939,727,3058,413,4989.565,741.16,0.13534855842590332,9301,32900372
cnae9,4,2,7.494702577590942,0,415418,368454,295024,838,415418.0,364254.8,1.3118414878845215,92723,1662577
grammatical_a9,1,2,0.2539048194885254,0,9577,2447,8931,528,9577.0,2727.4,0.46417903900146484,14092,711029
grammatical_a9,1,3,1.073444366455078,0,47098,19168,46452,559,51193.791666666664,26476.45,0.5451662540435791,17519,282279309
grammatical_a9,1,5,163.5478012561798,0,454330,415856,453684,568,543662.3645833334,699388.95,0.5584774017333984,20061,19970188734787
teaching,2,2,0.0077941417694091,0,195,47,72,21,195.0,46.92,0.025241613388061523,1659,1771
teaching,2,3,0.0081932544708251,0,214,59,78,25,208.06875,53.89,0.021114587783813477,1882,34280
teaching,2,5,0.0083706378936767,0,214,59,78,25,212.70833333333334,52.501666666666665,0.021375656127929688,1896,5495792
auto6_1,class8,2,0.219696044921875,0,12090,2635,5641,418,12090.0,4229.95,0.18258142471313477,15555,12091
auto6_1,class8,3,0.6761507987976074,0,29366,3146,21840,454,82797.44791666667,6198.191666666667,0.24013113975524902,20846,620776
auto6_1,class8,5,0.6766417026519775,0,29417,3151,21891,456,77230.52604166667,5542.541666666667,0.23753690719604492,20456,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,60.05484366416931,0,5050,4600,2314,357,5050.0,4600.0,50.86298441886902,10000,5051
ozone8,1,2,1.4676692485809326,0,30914,829,14962,500,30914.0,1139.56,1.1763641834259033,24986,41042
ozone8,1,3,0.7170147895812988,0,34606,2695,18654,610,33118.1,4924.453333333334,0.31999754905700684,25551,3899182
ozone8,1,5,1.777266502380371,0,54144,21117,38192,663,33709.83833333333,58762.87666666666,0.32696986198425293,25922,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0142412185668945,0,10,8,0,0,10.0,8.0,0.015403509140014648,304,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0152015686035156,0,10,8,0,0,10.0,8.0,0.014502763748168945,304,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.0141823291778564,0,10,8,0,0,10.0,8.0,0.014624357223510742,304,11
bach, C#d,2,0.0219888687133789,0,280,164,208,171,280.0,154.55,0.041277408599853516,2149,1226
bach, C#d,3,0.0424227714538574,0,944,450,872,340,1026.7625,484.5133333333333,0.06080794334411621,3354,19650
