dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.0141780376434326,0,7,5,4,4,7.0,4.98,0.013373136520385742,204,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.0144565105438232,0,7,5,4,4,7.0,4.905,0.013314962387084961,204,11
thyroid_ann,2,2,0.0596511363983154,0,1089,895,471,257,1089.0,924.6,0.07436323165893555,4554,1486
thyroid_ann,2,3,0.3848180770874023,0,10382,4032,5248,483,11863.158333333333,7281.033333333334,0.1239480972290039,8221,26290
thyroid_ann,2,5,6.099964141845703,0,63398,47793,44605,716,166938.205,154435.71183333333,0.1683492660522461,11455,3505051
seeds,2,2,0.0095627307891845,0,238,120,112,70,238.0,115.395,0.02465987205505371,2028,407
seeds,2,3,0.012650728225708,0,439,182,255,148,509.64375,190.295,0.033161163330078125,2871,3683
seeds,2,5,0.0141990184783935,0,504,225,320,195,591.08,243.663,0.036838531494140625,3069,122438
hv_no_noise,0,2,1.4224703311920166,0,80200,20200,26667,420,80200.0,20200.0,0.42345333099365234,40300,80201
hv_no_noise,0,3,22.8620183467865,0,727000,667000,350067,506,727000.0,667000.0,0.5618083477020264,50100,10667001
statlog_australian,1,2,0.027787446975708,0,1282,471,531,271,1282.0,502.25,0.061383724212646484,4957,1654
statlog_australian,1,3,0.0710022449493408,0,3819,727,2394,419,3838.3541666666665,909.4166666666666,0.07558965682983398,6500,30914
statlog_australian,1,5,0.0790603160858154,0,4094,852,2651,490,4430.21875,1216.7916666666667,0.07822227478027344,6745,4613030
hiv_schilling,1,2,0.2275543212890625,0,11038,804,3159,365,11038.0,1101.12,0.18681001663208008,14860,12881
hiv_schilling,1,3,0.2838897705078125,0,13384,809,5112,369,14260.083333333334,967.18,0.18118572235107422,15905,682801
hiv_schilling,1,5,0.2797815799713135,0,13384,809,5112,369,18254.541666666668,1285.38,0.18587374687194824,16329,847361193
heart-long-beach,4,2,0.0166268348693847,0,637,463,303,185,637.0,469.525,0.040618896484375,3442,904
heart-long-beach,4,3,0.0621559619903564,0,3602,2010,1840,351,4211.59375,2291.45,0.06890320777893066,5805,12384
heart-long-beach,4,5,0.4381425380706787,0,10207,7436,6436,480,14230.642708333333,7950.11875,0.08468937873840332,7409,974982
datatrieve,2,2,0.0118570327758789,0,408,136,137,86,408.0,126.56,0.028705120086669922,2730,466
datatrieve,2,3,0.0150949954986572,0,597,280,283,168,626.9833333333333,276.17333333333335,0.03741908073425293,3435,4526
datatrieve,2,5,0.0193381309509277,0,766,442,422,248,785.8220833333334,420.0863333333333,0.04361581802368164,3797,174437
jEdit_4.0_4.2,2,2,0.0124332904815673,0,406,270,181,139,406.0,259.56,0.031378984451293945,2728,407
jEdit_4.0_4.2,2,3,0.0286812782287597,0,1413,498,777,254,1678.4833333333333,622.3466666666667,0.04978013038635254,4433,3683
jEdit_4.0_4.2,2,5,0.0334341526031494,0,1610,606,954,307,2031.2891666666667,730.8653333333333,0.053824424743652344,4758,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.169917583465576,0,325,275,143,135,325.0,275.0,13.853984355926514,2425,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.226699113845825,0,1575,1208,787,279,1575.0,1242.5,21.58194613456726,4325,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,46.01781606674194,0,3764,2599,1887,360,4219.270833333333,2486.875,26.76285433769226,5667,68406
pitt1_2,WOOD,2,0.0067684650421142,0,115,44,56,27,115.0,44.73,0.4996492862701416,1324,301
pitt1_2,WOOD,3,0.0069916248321533,0,140,59,72,35,150.875,55.06666666666667,0.01986551284790039,1649,2325
pitt1_2,WOOD,5,0.0071072578430175,0,141,60,72,35,144.21041666666667,54.57083333333333,0.020485877990722656,1660,55455
backache,2,2,0.047135591506958,0,2792,1604,1431,357,2792.0,1736.04,0.07935333251953125,7391,4187
backache,2,3,0.3889646530151367,0,21546,13702,12180,559,26370.558333333334,16524.816666666666,0.12443304061889648,11474,125672
backache,2,5,53.18049740791321,0,249584,216727,148694,848,357167.246875,567515.8358333333,0.17271757125854492,15658,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9922566413879396,0,39395,18519,17666,565,39395.0,18565.4,0.4336972236633301,28235,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,28.60290098190308,0,930325,176510,516254,872,1191384.4166666667,328727.0,0.6137790679931641,42050,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,597.374100446701,0,2899743,177807,1786263,894,7968069.570833334,573141.2166666667,0.6808404922485352,46966,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0652570724487305,0,325,275,134,130,325.0,275.0,1.1045758724212646,2425,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.088655471801758,0,1575,1525,766,299,1575.0,1525.0,1.6289410591125488,4325,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.322275161743164,0,7825,4650,3909,409,7825.0,4650.0,2.2125325202941895,6625,68406
thyroid_hypothyroid,hypothyroid,2,0.0186836719512939,0,412,347,189,166,412.0,338.24,0.08735513687133789,2734,596
