dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
ring,0,5,1.973423957824707,0,86945,3964,55064,867,14310.733333333334,719.9333333333333,0.14355731010437012,8932,25706997
mc1,2,2,0.2016873359680175,0,4325,868,1248,331,4067.0125,828.9,0.1504957675933838,8500,4852
mc1,2,3,0.9058873653411864,0,27477,7875,10587,826,21543.154166666667,7013.358333333334,0.1791090965270996,9948,156948
mc1,2,5,24.151743173599243,0,832684,234756,304335,2598,617321.8679427083,247155.22375,0.21117448806762695,11954,71680092
thyroid_allhyper,goitre.,2,0.049131155014038,0,1469,606,550,271,1427.36,455.8,0.07370543479919434,4766,2081
thyroid_allhyper,goitre.,3,0.2581374645233154,0,10020,2836,4081,823,6665.52,2352.2,0.08987593650817871,5973,43745
thyroid_allhyper,goitre.,5,4.917938709259033,0,219861,49498,93863,1637,59134.1195,21565.847999999998,0.10137557983398438,6600,8303633
mammographics,1,2,0.0081918239593505,0,183,118,94,66,190.0125,120.89,0.02428126335144043,1825,277
mammographics,1,3,0.0172224044799804,0,642,252,299,133,577.2958333333333,214.97166666666666,0.034476280212402344,2614,2048
mammographics,1,5,0.0199191570281982,0,761,227,408,157,794.66375,221.03900000000002,0.03833174705505371,2718,44552
dresses,1,2,0.1056396961212158,0,6894,728,1580,224,5609.85,690.85,0.0762486457824707,7376,15226
dresses,1,3,0.6789765357971191,0,47435,2106,8731,404,31972.644166666665,2417.3,0.1012430191040039,8955,878150
dresses,1,5,2.201796770095825,0,156737,3455,23334,473,79018.75265625,2634.8825833333335,0.10597372055053711,9112,1292028185
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.003432273864746,0,1,0,0,0,1.0,0.0,0.0017294883728027344,2,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.0034584999084472,0,1,0,0,0,1.0,0.0,0.0013883113861083984,2,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,5,0.0034222602844238,0,1,0,0,0,1.0,0.0,0.001392364501953125,2,11
thyroid_new_thyroid,2,2,0.0069680213928222,0,149,59,43,31,138.1875,57.775,0.017511367797851562,1422,211
thyroid_new_thyroid,2,3,0.0097267627716064,0,321,72,104,44,305.4,68.375,0.023671388626098633,1885,1351
thyroid_new_thyroid,2,5,0.0105006694793701,0,349,78,115,50,328.305625,70.025,0.024797916412353516,1932,21700
Balance_UCI_,R,2,0.0081477165222167,0,171,165,75,75,171.0,165.3,0.025190353393554688,1922,211
Balance_UCI_,R,3,0.0164785385131835,0,651,165,307,75,708.5,164.7,0.03851890563964844,3259,1351
Balance_UCI_,R,5,0.0166308879852294,0,651,165,307,75,713.25,165.3,0.03842639923095703,3265,6196
vert2,NO,2,0.0102226734161376,0,265,191,128,115,255.9775,172.12,0.027642250061035156,2226,301
vert2,NO,3,0.0254108905792236,0,1137,293,516,177,926.5329166666667,249.66833333333332,0.03941178321838379,3194,2325
vert2,NO,5,0.0330643653869628,0,1589,299,724,186,1174.7714375,231.05366666666666,0.040863037109375,3237,55455
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,2,15.004858493804932,0,1079,1079,0,0,1079.0,1079.0,19.2946195602417,4851,1226
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,3,65.65212559700012,0,13084,13084,0,0,13672.245,13084.0,32.77961754798889,8951,19650
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,5,335.3133146762848,0,97119,13084,0,0,111221.87375,13084.0,42.3995041847229,12351,2138410
rmftsa_sleepdata,3,2,0.0044827461242675,0,25,22,7,7,25.0,22.24,0.5342912673950195,710,37
rmftsa_sleepdata,3,3,0.0043938159942626,0,25,22,7,7,25.0,21.96,0.010622978210449219,710,37
rmftsa_sleepdata,3,5,0.00447678565979,0,25,22,7,7,25.0,21.52,0.010524511337280273,710,37
thoracic-surgery,1,2,0.0237696170806884,0,885,596,463,232,872.5,538.0,0.04760313034057617,3948,1082
thoracic-surgery,1,3,0.1268680095672607,0,6513,2803,3179,398,5983.683333333333,2652.0666666666666,0.07292413711547852,6018,16262
thoracic-surgery,1,5,1.043285608291626,0,56608,17692,24300,724,47827.31208333333,16934.57,0.09620046615600586,7882,1550201
kc3,2,2,0.1237258911132812,0,6601,1081,2650,347,6471.36,954.12,0.12218546867370605,11220,7022
kc3,2,3,0.6791212558746338,0,39548,5710,17321,616,36414.56,9064.04,0.14739322662353516,12816,273938
kc3,2,5,11.847536087036133,0,708805,126193,314032,1307,819724.4463333334,241724.34666666668,0.1694333553314209,14357,182911211
tae,2,2,0.0060584545135498,0,111,70,49,33,110.075,70.825,0.018111467361450195,1418,137
tae,2,3,0.0094015598297119,0,281,124,119,58,278.75,116.425,0.02444934844970703,2009,697
tae,2,5,0.0120389461517333,0,411,138,177,65,415.812109375,138.75,0.02975153923034668,2226,6885
leaf,32,2,0.0326955318450927,0,1457,321,547,235,1361.75,248.94,0.051587581634521484,4373,2557
leaf,32,3,0.0728297233581543,0,3883,398,1578,324,3606.5016666666666,560.68,0.06294393539428711,4993,59712
leaf,32,5,0.1341807842254638,0,7529,509,3428,405,7446.380979166666,878.448,0.06703376770019531,5178,14051256
australian,1,2,0.0237915515899658,0,821,590,387,242,811.0,417.2,0.05109381675720215,3944,904
