dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
teaching,2,5,0.0131199359893798,0,494,60,143,25,662.6506002824859,48.30225988700565,0.016763687133789062,1116,5495792
auto6_1,class8,2,0.2445158958435058,0,11864,11789,5641,499,11868.0,11796.5,0.27876925468444824,24027,12091
auto6_1,class8,3,10.16676640510559,0,541792,158141,260635,813,583341.5833333334,332617.6666666667,0.5269265174865723,47069,620776
auto6_1,class8,5,122.23145747184752,0,6819821,188984,3570986,842,11907083.258333333,398217.5833333333,0.6429643630981445,58273,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.5802161693573,0,4601,4601,2314,437,4601.0,4601.0,50.538872480392456,10002,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,516.9434666633606,0,124601,64957,62297,673,127976.0,64856.0,82.86480140686035,18902,166751
ozone8,1,2,0.8631653785705566,0,40375,17066,15056,579,40264.468531468534,16345.895104895106,1.815399169921875,81226,41042
ozone8,1,3,20.52786350250244,0,1043227,172934,649814,1188,1398092.217948718,341434.20745920745,1.3600356578826904,113977,3899182
ozone8,1,5,1184.634605884552,0,62098093,6396364,43365789,2338,134817004.92784092,24140516.94988345,1.5865733623504639,129177,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0159735679626464,0,9,9,0,0,9.0,9.0,0.009233474731445312,18,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0151214599609375,0,9,9,0,0,9.0,9.0,0.008336305618286133,18,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.0157780647277832,0,9,9,0,0,9.0,9.0,0.00836801528930664,18,11
bach, C#d,2,0.0318942070007324,0,609,226,208,182,495.83673469387753,224.14285714285714,0.027005434036254883,1080,1226
bach, C#d,3,0.1138370037078857,0,4086,1315,1253,439,3045.1989795918366,1317.408163265306,0.0411381721496582,1920,19650
bach, C#d,5,1.0726604461669922,0,51359,12989,14195,776,45146.67661564626,17132.26530612245,0.06463265419006348,3372,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,33.01974105834961,0,76401,76401,38263,662,76401.0,76401.0,46.88295245170593,160002,80201
polish_bankruptcy_1year,1,2,0.7905979156494141,0,32173,23378,13123,522,32172.943359375,23593.73046875,0.9702045917510986,65026,32897
polish_bankruptcy_1year,1,3,36.6230628490448,0,1864865,790441,725218,1178,1837558.8893229167,796870.2721354166,1.3920824527740479,111750,2796417
coil2000,1,2,3.937464952468872,0,174003,50501,43145,725,153409.1423076923,35535.907692307694,4.1880598068237305,321752,211576
coil2000,1,3,163.76562023162842,0,8195638,1444722,1946485,1485,7698017.102884616,1817378.2692307692,5.8689093589782715,431282,45771376
robot2,back_col,2,0.0120344161987304,0,317,293,151,134,330.7857142857143,294.42857142857144,0.022286653518676758,730,407
robot2,back_col,3,0.0395941734313964,0,1665,669,885,185,2108.767857142857,980.952380952381,0.018424510955810547,1288,3683
robot2,back_col,5,0.0722393989562988,0,3401,768,1937,229,5106.772916666667,1142.4232142857143,0.020760774612426758,1453,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0250558853149414,0,553,553,269,206,556.0,556.0,0.023044109344482422,1227,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1149830818176269,0,4722,4717,2441,427,4948.833333333333,4715.666666666667,0.0362248420715332,2227,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,1.13602614402771,0,53108,11645,29890,512,52774.40625,10879.083333333334,0.048801422119140625,3199,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0039901733398437,0,9,9,0,0,9.0,9.0,0.002122640609741211,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0036871433258056,0,9,9,0,0,9.0,9.0,0.0017232894897460938,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0035097599029541,0,9,9,0,0,9.0,9.0,0.0017256736755371094,18,11
auto6_3,class1,2,0.2340211868286132,0,11864,10527,5586,521,11862.0,10543.5,0.26291847229003906,24027,12091
auto6_3,class1,3,7.253819227218628,0,407222,40428,213326,688,514554.5,73807.33333333333,0.465761661529541,44769,620776
auto6_3,class1,5,28.287015914916992,0,1602873,42813,729037,692,2733057.4375,85869.54166666667,0.4969046115875244,47538,722277712
grammatical_b1,1,2,12.86175799369812,0,636387,13273,303375,1011,616272.1019599666,9602.658882402002,14.329693794250488,1269743,719401
grammatical_b1,1,3,89.64372491836548,0,4457466,137603,3311075,1522,2825566.5429524602,112065.54587155963,14.852860927581787,1285941,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0489323139190673,0,1163,1163,567,274,1160.0,1160.0,0.053658485412597656,2502,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3806607723236084,0,15637,15632,8065,574,16192.583333333334,15812.166666666666,0.0815420150756836,4682,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,6.821393728256226,0,310086,56866,186957,689,554803.4083333333,84718.24166666667,0.10947060585021973,7351,2369936
volcanoes-a1,4,2,0.0066051483154296,0,61,42,22,22,57.229166666666664,41.791666666666664,0.0051915645599365234,134,79
volcanoes-a1,4,3,0.0083489418029785,0,121,61,41,41,110.20486111111111,63.333333333333336,0.005281209945678711,189,299
volcanoes-a1,4,5,0.0080668926239013,0,121,61,41,41,112.30555555555556,66.23611111111111,0.005266904830932617,191,299
vert3,NO,2,0.0102667808532714,0,265,196,128,115,255.95833333333334,210.39583333333334,0.009079933166503906,554,301
