dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
synthetic_control,4,3,1.1909754276275637,0,85645,6401,6310,3172,35426.99791666667,1616.3583333333333,0.4643218517303467,36748,2304201
synthetic_control,4,5,2.560459852218628,0,206153,11152,11101,5076,66902.21637152779,2746.8933333333334,0.4735288619995117,36993,6500162589
titanic,1,2,0.004894733428955,0,29,27,16,16,28.0,26.0,0.0037605762481689453,66,37
titanic,1,3,0.0056109428405761,0,41,39,24,24,51.416666666666664,42.666666666666664,0.0036013126373291016,99,93
titanic,1,5,0.0055687427520751,0,41,39,24,24,51.083333333333336,42.666666666666664,0.003623485565185547,99,93
secom,1,2,0.3956811428070068,0,19019,9324,7160,615,19025.0,8031.0,0.46065187454223633,38418,19307
secom,1,3,7.153772830963135,0,416500,36760,32077,1291,443410.25,46731.166666666664,0.6597316265106201,53312,1255087
secom,1,5,49.996262073516846,0,3152564,101336,94215,2132,4047958.857291667,246492.93333333335,0.7015194892883301,55153,2350534656
wine,1,2,0.020134687423706,0,945,363,282,238,1029.5,248.15384615384616,0.030649423599243164,2186,1379
wine,1,3,0.0456039905548095,0,3441,286,259,233,3229.7548076923076,296.21153846153845,0.03364896774291992,2563,23479
wine,1,5,0.0469622611999511,0,3457,271,266,242,4493.33515625,398.28365384615387,0.034839630126953125,2567,2893164
thyroid_allrep,overreplacement.,2,0.0404994487762451,0,1203,584,440,259,1184.84375,420.375,0.0456233024597168,2562,2081
thyroid_allrep,overreplacement.,3,0.2185728549957275,0,9390,2926,2622,669,6740.364583333333,2813.7083333333335,0.06592869758605957,3558,43745
thyroid_allrep,overreplacement.,5,5.156389951705933,0,256109,60505,56425,2332,112296.40462239583,50986.390625,0.08457589149475098,4837,8303633
post,S,2,0.0075249671936035,0,228,113,51,51,201.2608695652174,103.52173913043478,0.007785320281982422,416,277
post,S,3,0.0160982608795166,0,846,274,128,124,710.2173913043479,237.47826086956522,0.009828567504882812,625,2048
post,S,5,0.0291335582733154,0,1897,453,217,180,1617.0790760869565,429.2630434782609,0.011158943176269531,717,44552
human,1,2,9.2795147895813,0,371504,7534,7466,1216,418921.87768817204,2543.8133960573477,17.502647399902344,1073594,2492029
human,1,3,61.28721332550049,0,2863360,26438,26417,2384,1425585.1269414576,10582.748581242533,18.988382816314697,1091507,1853240389
human,1,5,954.4209589958192,0,49297836,337511,337507,8127,9407882.349430863,82248.3508363202,19.407628774642944,1099816,460593618484615
connectionist_sonar,R,2,0.3873147964477539,0,26465,2071,1524,601,28561.0,1094.5,0.7143847942352295,57602,28921
