dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
wall24,Slight-Right-Turn,3,0.3038613796234131,0,11397,1441,8739,633,16892.625,6111.368421052632,0.1665363311767578,11379,142976
wall24,Slight-Right-Turn,5,0.3183047771453857,0,11865,1633,9207,718,9044.525,14802.676644736843,0.16895532608032227,11550,61267040
thyroid_allbp,increased binding protein.,2,0.0512382984161376,0,1894,799,657,267,1894.0,1042.3823529411766,0.06198930740356445,3844,2081
thyroid_allbp,increased binding protein.,3,0.2266545295715332,0,9366,5206,5409,602,4505.8494623655915,3966.1960784313724,0.07117080688476562,4958,43745
thyroid_allbp,increased binding protein.,5,13.028774976730348,0,123036,89983,102738,1142,102095.61720430107,152952.55620915032,0.09608221054077148,6818,8303633
analcatdata_creditscore,1,2,0.0069079399108886,0,112,60,53,28,112.0,65.625,0.0062007904052734375,281,232
analcatdata_creditscore,1,3,0.0079138278961181,0,181,107,82,46,241.35416666666669,136.35416666666666,0.007131814956665039,405,1562
analcatdata_creditscore,1,5,0.0086219310760498,0,203,124,92,55,294.62708333333336,162.92499999999998,0.008244991302490234,480,27896
primary,1,2,0.0169789791107177,0,614,419,273,166,614.0,449.6904761904762,0.022657394409179688,1769,1432
primary,1,3,0.0547084808349609,0,3095,1806,1504,352,2652.4545454545455,1860.9603174603174,0.03397321701049805,2677,24858
primary,1,5,0.5289146900177002,0,13656,9734,9949,532,20612.310606060608,24957.882142857143,0.04798769950866699,3714,3187368
breast_tissue_merged,car,2,0.0110738277435302,0,336,98,174,65,336.0,101.78571428571429,0.012143611907958984,876,667
breast_tissue_merged,car,3,0.0127689838409423,0,438,151,253,103,479.6011904761905,148.8095238095238,0.014612436294555664,1046,7807
