dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
wilt,w,3,0.0265944004058837,0,648,245,308,179,519.6111111111111,224.5,0.043563127517700195,2860,1351
wilt,w,5,0.0241625308990478,0,678,255,338,186,565.8416666666667,240.5125,0.0489501953125,3128,21700
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.1844146251678466,0,325,275,144,134,325.0,275.0,0.13927841186523438,2425,326
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.6353499889373779,0,1575,1275,775,225,1575.0,1261.4583333333333,0.2031574249267578,4325,2626
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5646181106567383,0,4021,2741,2079,234,4724.583333333333,2697.9166666666665,0.2588653564453125,5839,68406
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.0213136672973632,0,325,275,136,132,325.0,275.0,0.047759294509887695,2425,326
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.0570795536041259,0,1575,1525,782,218,1575.0,1525.0,0.06959056854248047,4325,2626
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.1690719127655029,0,4700,1530,2493,218,4700.0,1599.21875,0.0896906852722168,5827,68406
mfeat-karhunen,8,2,1.1194822788238523,0,31631,491,13132,348,31631.0,982.0375,0.30507922172546387,25256,32897
mfeat-karhunen,8,3,0.6461501121520996,0,32215,535,13716,383,31809.48888888889,817.31875,0.3321356773376465,26170,2796417
mfeat-karhunen,8,5,0.6510660648345947,0,32221,536,13722,384,32224.33611111111,1072.7635416666667,0.33305788040161133,26155,8987138113
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0041208267211914,0,7,5,4,4,7.0,4.95,0.0066564083099365234,204,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.0039911270141601,0,7,5,4,4,7.0,5.11875,0.005490779876708984,204,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0042695999145507,0,7,5,4,4,7.0,4.85625,0.005309581756591797,204,11
Iris_UCI_,Iris-virginica,2,0.00606369972229,0,82,34,42,27,82.0,35.25,0.014353036880493164,1116,137
Iris_UCI_,Iris-virginica,3,0.0064055919647216,0,98,40,55,32,101.73333333333333,37.075,0.01780557632446289,1379,697
Iris_UCI_,Iris-virginica,5,0.0064766407012939,0,98,40,55,32,106.56666666666666,40.225,0.018645286560058594,1430,2517
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.0139157772064208,0,7,5,4,4,7.0,5.025,0.013135910034179688,204,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.0136475563049316,0,7,5,4,4,7.0,4.9875,0.015956640243530273,204,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.0144522190093994,0,7,5,4,4,7.0,4.95,0.014826059341430664,204,11
thyroid_ann,2,2,0.0533287525177001,0,1089,486,471,235,1089.0,548.8375,0.07583093643188477,4554,1486
thyroid_ann,2,3,0.1725232601165771,0,4208,1032,2540,484,2310.6833333333334,1657.0541666666668,0.09506559371948242,5806,26290
thyroid_ann,2,5,0.3922450542449951,0,8689,4872,6407,656,7117.606666666667,9364.13375,0.1081998348236084,6682,3505051
seeds,2,2,0.0090072154998779,0,238,120,112,70,238.0,116.68125,0.025575876235961914,2028,407
seeds,2,3,0.0122361183166503,0,439,182,255,147,336.525,137.2,0.031893253326416016,2539,3683
seeds,2,5,0.013967752456665,0,504,225,320,192,307.6616666666667,146.9803125,0.03579878807067871,2633,122438
hv_no_noise,0,2,1.3611223697662354,0,80200,20200,26667,365,80200.0,20200.0,0.39989805221557617,40300,80201
hv_no_noise,0,3,22.12311196327209,0,727000,667000,350067,431,727000.0,667000.0,0.5455455780029297,50100,10667001
statlog_australian,1,2,0.0259275436401367,0,1282,291,531,252,1282.0,289.0625,0.0610051155090332,4957,1654
statlog_australian,1,3,0.0421829223632812,0,2222,408,1309,372,1879.0833333333333,634.375,0.07171249389648438,5991,30914
statlog_australian,1,5,0.0441231727600097,0,2311,458,1395,414,1652.888888888889,744.1458333333334,0.07667231559753418,6307,4613030
hiv_schilling,1,2,0.1849265098571777,0,11038,271,3159,310,11038.0,350.575,0.1658329963684082,14860,12881
hiv_schilling,1,3,0.188056468963623,0,11162,271,3279,310,11076.644444444444,395.9,0.17672419548034668,15436,682801
hiv_schilling,1,5,0.1867070198059082,0,11162,271,3279,310,11125.566666666668,423.65,0.1776890754699707,15395,847361193
heart-long-beach,4,2,0.0153291225433349,0,637,375,303,188,637.0,376.25,0.04198288917541504,3442,904
heart-long-beach,4,3,0.0434575080871582,0,2487,1139,1633,320,2201.402777777778,1351.7291666666667,0.058869123458862305,5068,12384
heart-long-beach,4,5,0.1076745986938476,0,4544,2431,3566,400,3492.338888888889,3335.8791666666666,0.07068777084350586,5875,974982
datatrieve,2,2,0.0110619068145751,0,408,136,137,86,408.0,141.225,0.029896020889282227,2730,466
datatrieve,2,3,0.0142445564270019,0,597,216,283,168,531.7444444444444,202.65,0.03783440589904785,3279,4526
datatrieve,2,5,0.0167133808135986,0,700,313,386,238,587.7522222222223,284.9641666666667,0.04162240028381348,3438,174437
jEdit_4.0_4.2,2,2,0.0111196041107177,0,406,230,181,139,406.0,238.35,0.03335833549499512,2728,407
jEdit_4.0_4.2,2,3,0.0224289894104003,0,1105,343,714,234,797.2222222222222,380.3333333333333,0.04389023780822754,3708,3683
jEdit_4.0_4.2,2,5,0.0245110988616943,0,1183,389,787,273,738.6244444444444,402.03625,0.04913663864135742,3890,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.012898206710815,0,325,275,143,134,325.0,275.0,13.925138711929321,2425,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.12784695625305,0,1575,1208,787,227,1575.0,1189.5833333333333,21.492875814437866,4325,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,45.778703927993774,0,3764,2599,1887,234,4569.984567901234,2834.9662162162163,25.471585512161255,5361,68406
pitt1_2,WOOD,2,0.0064671039581298,0,115,44,56,27,115.0,46.55,0.500098705291748,1324,301
pitt1_2,WOOD,3,0.0069098472595214,0,140,59,72,35,138.0222222222222,51.625,0.02078533172607422,1607,2325
pitt1_2,WOOD,5,0.0071091651916503,0,141,60,72,35,140.6472222222222,56.79479166666667,0.0223538875579834,1700,55455
backache,2,2,0.0458660125732421,0,2792,968,1431,358,2792.0,1066.0625,0.08215069770812988,7391,4187
backache,2,3,0.1635553836822509,0,10332,3425,6106,570,8769.144444444444,5765.216666666666,0.1067497730255127,9512,125672
backache,2,5,1.264134645462036,0,31926,17463,11672,753,35854.090000000004,56718.248125,0.12454962730407715,10956,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.952651023864746,0,39116,10199,17628,410,39116.0,9907.9875,0.4082818031311035,28135,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.329450845718384,0,397079,12981,209601,410,543985.875,27175.7625,0.55661940574646,36976,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.506006717681885,0,397780,12981,210266,410,520420.8375,23035.51875,0.5662415027618408,36841,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0365002155303955,0,325,275,134,129,325.0,275.0,1.170151710510254,2425,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1079089641571045,0,1575,1525,766,208,1575.0,1525.0,1.6935675144195557,4325,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.444520235061645,0,7825,4650,3909,208,7825.0,4650.0,2.264360189437866,6625,68406
thyroid_hypothyroid,hypothyroid,2,0.0181624889373779,0,412,228,189,167,412.0,225.225,0.09583497047424316,2734,596
thyroid_hypothyroid,hypothyroid,3,0.0469367504119873,0,1572,908,1041,346,1200.9777777777779,925.3416666666667,0.05791974067687988,3826,6580
thyroid_hypothyroid,hypothyroid,5,0.4136273860931396,0,10140,9476,9130,636,10820.533333333333,9881.2,0.08238506317138672,5503,331212
grammatical_a3,1,2,0.4446074962615967,0,22101,1004,21471,604,22101.0,1254.34375,0.34901928901672363,21591,709837
grammatical_a3,1,3,0.5421991348266602,0,27295,3280,26664,661,26998.222222222223,5619.5625,0.5750536918640137,22856,281569472
grammatical_a3,1,5,1.7139148712158203,0,44206,19651,43575,679,36989.6375,108104.7,0.6115894317626953,24109,19886491853720
crx,positive,2,0.0288951396942138,0,1387,346,572,261,1387.0,429.325,0.07332873344421387,5161,1892
crx,positive,3,0.0496485233306884,0,2614,496,1505,392,1769.9222222222222,636.675,0.0749518871307373,6200,37882
crx,positive,5,0.0535855293273925,0,2777,582,1661,460,1984.2488888888888,1147.9704166666668,0.08120870590209961,6617,6508884
GermanCredit_UCI_,2,2,0.0512645244598388,0,2776,802,1352,258,2776.0,817.7,0.08974313735961914,7375,2851
GermanCredit_UCI_,2,3,0.1545729637145996,0,8012,2300,4861,374,8922.727777777778,4839.908333333334,0.11834597587585449,9803,70376
GermanCredit_UCI_,2,5,0.3176074028015136,0,12278,4777,7969,472,14557.128888888888,21332.851041666665,0.13158726692199707,10879,18545216
pc1,2,2,0.0539095401763916,0,2850,291,806,329,2850.0,257.34375,0.08678579330444336,7475,2851
pc1,2,3,0.0753891468048095,0,4023,1214,1963,484,3982.5,1550.46875,0.09899353981018066,8279,70376
pc1,2,5,0.5407395362854004,0,15329,12234,13269,671,18224.75,20508.8515625,0.11776971817016602,9681,18545216
mfeat-pixel,8,2,0.8318591117858887,0,35318,3460,29578,901,35318.0,4803.5,0.4406425952911377,27548,1358777
mfeat-pixel,8,3,2.407922744750977,0,100525,16712,94785,1346,114375.33333333333,78405.16666666667,0.8765738010406494,31244,745969673
mfeat-pixel,8,5,50.60199451446533,0,321454,162385,315714,1672,348486.48333333334,4102663.472916667,0.91005539894104,33071,100992507946877
hv_noise,0,2,1.3348658084869385,0,80200,20200,26173,422,80200.0,20200.0,0.49727845191955566,40300,80201
hv_noise,0,3,21.407438039779663,0,727000,667000,349573,700,727000.0,667000.0,0.5403149127960205,50100,10667001
image,WINDOW,2,0.0483570098876953,0,1962,245,835,281,1962.0,280.1625,0.0865638256072998,6171,2557
image,WINDOW,3,0.0580697059631347,0,2587,503,1460,392,2371.5444444444447,790.1125,0.09360623359680176,6817,59712
image,WINDOW,5,0.0770609378814697,0,3374,1070,2247,462,2418.94,1398.041875,0.09568619728088379,7175,14051256
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.277646780014038,0,325,275,132,127,325.0,275.0,13.932004928588867,2425,326
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.444172620773315,0,1575,1525,747,225,1575.0,1525.0,21.447265148162842,4325,2626
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,90.11826539039612,0,7825,4650,3885,225,7825.0,4650.0,25.347845315933228,5371,68406
polish_bankruptcy_4year,1,2,0.7961947917938232,0,32641,1139,12510,454,32641.0,1698.9375,0.8242409229278564,25656,32897
polish_bankruptcy_4year,1,3,1.0262563228607178,0,40957,3697,20826,593,34622.916666666664,8914.90625,0.37226104736328125,26728,2796417
polish_bankruptcy_4year,1,5,3.474005699157715,0,73022,29616,52891,681,51788.59583333333,150806.25625,0.39031529426574707,28103,8987138113
lung,3,2,0.0458321571350097,0,2711,774,1054,235,2711.0,999.9,0.09138035774230957,7255,12091
lung,3,3,0.1301496028900146,0,8142,2999,4280,358,10311.8,5991.3,0.1122138500213623,9710,620776
lung,3,5,0.522611141204834,0,17583,8323,12714,443,33634.44,65528.5275,0.12703919410705566,11209,722277712
credit,+,2,0.0276672840118408,0,1387,293,580,266,1387.0,323.7,0.06174421310424805,5161,1892
credit,+,3,0.0446991920471191,0,2330,443,1364,395,1526.2444444444445,483.1666666666667,0.07179570198059082,5913,37882
credit,+,5,0.048537254333496,0,2496,524,1524,455,1681.0455555555554,832.4279166666666,0.07873034477233887,6337,6508884
lymphography,fibrosis,2,0.0130891799926757,0,410,208,264,150,410.0,194.23125,0.035944223403930664,2659,1771
lymphography,fibrosis,3,0.0237624645233154,0,1077,331,893,245,620.0,249.80625,0.044884443283081055,3393,34280
lymphography,fibrosis,5,0.0255987644195556,0,1176,415,992,281,875.3,440.746875,0.05259132385253906,3843,5495792
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.0589666366577148,0,191,151,109,103,191.0,149.8625,0.08370232582092285,1820,211
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.085517406463623,0,586,251,434,184,611.1111111111111,248.78125,0.12290024757385254,3120,1351
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.0856118202209472,0,586,251,434,184,669.8923611111111,297.35,0.13142728805541992,3461,6196
ring,0,2,0.107358694076538,0,3240,271,1556,365,3240.0,285.0,0.1245121955871582,7980,3241
ring,0,3,0.1339507102966308,0,4380,271,2696,365,3850.6666666666665,256.0,0.14350605010986328,9136,85401
ring,0,5,0.1351270675659179,0,4380,271,2696,365,4251.111111111111,363.0,0.1466531753540039,9500,25706997
mc1,2,2,0.1759309768676757,0,3668,633,1248,331,3668.0,579.0625,0.14470434188842773,8498,4852
mc1,2,3,0.412255048751831,0,9135,5349,6665,607,8201.333333333334,5437.875,0.16730880737304688,9704,156948
mc1,2,5,18.29918670654297,0,139686,128409,137125,943,185094.45555555556,222391.59166666667,0.21470046043395996,12355,71680092
thyroid_allhyper,goitre.,2,0.0391569137573242,0,1192,380,550,271,1192.0,445.5,0.07333135604858398,4764,2081
thyroid_allhyper,goitre.,3,0.0936200618743896,0,3702,1060,2704,498,2395.2,1702.3,0.08646512031555176,5963,43745
thyroid_allhyper,goitre.,5,0.4213948249816894,0,12270,9628,11266,735,8096.266666666666,12508.64,0.09918355941772461,6806,8303633
