dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
mw1,2,5,4.442456245422363,0,74609,62357,70347,840,75483.1429245283,101319.28392857143,0.1875474452972412,17149,254565277
polish_bankruptcy_5year,1,2,0.7056682109832764,0,32386,868,10137,424,32386.0,933.8235294117648,0.7441058158874512,64770,32641
polish_bankruptcy_5year,1,3,0.7979323863983154,0,36981,2943,14732,611,35489.48368794326,3885.867973856209,0.7636678218841553,65867,2763776
polish_bankruptcy_5year,1,5,2.939270257949829,0,70806,34445,48557,809,62024.34127659575,59534.993594771244,0.7954356670379639,66889,8812312832
grammatical_b8,1,2,0.8497984409332275,0,43366,723,42610,531,43366.0,747.1319385140905,4.452378511428833,340761,686207
grammatical_b8,1,3,0.8733863830566406,0,44366,1168,43597,593,44176.046915725456,1264.106319385141,4.724201917648315,343600,267621512
grammatical_b8,1,5,0.8902111053466797,0,44849,1611,44074,607,44422.731146828846,1900.2888129803587,4.740434885025024,344389,18270601185176
heart_va,3,2,0.0543460845947265,0,68,48,29,22,68.0,48.65384615384615,0.00955653190612793,143,92
heart_va,3,3,0.0088703632354736,0,117,94,55,34,113.55128205128204,83.76923076923077,0.004326343536376953,211,378
heart_va,3,5,0.0075283050537109,0,136,113,67,37,144.18910256410257,110.59935897435898,0.004842519760131836,250,1093
volcanoes-b5,4,2,0.0148220062255859,0,78,56,20,20,78.0,54.0,0.006300449371337891,144,79
volcanoes-b5,4,3,0.013376235961914,0,128,89,37,37,137.0,99.5,0.00739288330078125,224,299
volcanoes-b5,4,5,0.0118970870971679,0,128,89,37,37,127.0,82.5,0.007321834564208984,215,299
wilt,w,2,0.0162525177001953,0,210,158,78,78,210.0,156.0,0.009281158447265625,400,211
wilt,w,3,0.0242476463317871,0,648,245,308,179,706.6666666666666,347.8333333333333,0.012696504592895508,660,1351
wilt,w,5,0.0235400199890136,0,678,255,338,186,868.2333333333333,399.85833333333335,0.013754606246948242,711,21700
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.1969437599182129,0,325,275,144,134,325.0,275.0,0.07307934761047363,625,326
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.3958029747009277,0,1575,1310,775,225,1575.0,1425.0,0.09137988090515137,1100,2626
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5705118179321289,0,4172,2804,2209,234,4950.833333333333,2691.6666666666665,0.10419106483459473,1488,68406
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.0222973823547363,0,325,275,136,132,325.0,275.0,0.02046513557434082,625,326
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.0558204650878906,0,1575,1525,782,218,1575.0,1525.0,0.022595882415771484,1100,2626
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.171757698059082,0,4700,1530,2493,218,4855.0,2125.0,0.027611970901489258,1477,68406
mfeat-karhunen,8,2,0.7949268817901611,0,31631,491,13132,348,31631.0,452.486328125,0.7481517791748047,64256,32897
mfeat-karhunen,8,3,0.6423146724700928,0,32215,535,13716,383,31839.103107344632,545.9576822916666,0.7440962791442871,64655,2796417
mfeat-karhunen,8,5,0.6496939659118652,0,32221,536,13722,384,31776.707627118645,496.7708333333333,0.7660932540893555,64608,8987138113
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0043163299560546,0,7,5,4,4,7.0,4.5,0.0031137466430664062,12,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.004183292388916,0,7,5,4,4,7.0,4.875,0.001749277114868164,12,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0040814876556396,0,7,5,4,4,7.0,4.875,0.0017480850219726562,12,11
Iris_UCI_,Iris-virginica,2,0.005882978439331,0,82,52,42,27,82.0,51.375,0.004199028015136719,192,137
Iris_UCI_,Iris-virginica,3,0.0070295333862304,0,137,100,85,32,137.625,95.875,0.005113124847412109,278,697
Iris_UCI_,Iris-virginica,5,0.0073592662811279,0,156,119,104,32,171.84375,125.90625,0.00565028190612793,321,2517
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.0146417617797851,0,7,5,4,4,7.0,4.5,0.007419109344482422,12,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.0141868591308593,0,7,5,4,4,7.0,4.875,0.008123159408569336,12,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.0140917301177978,0,7,5,4,4,7.0,4.5,0.007844686508178711,12,11
thyroid_ann,2,2,0.0546596050262451,0,1089,486,471,235,1089.0,488.537037037037,0.046350955963134766,2484,1486
thyroid_ann,2,3,0.1737489700317382,0,4208,1032,2540,484,4035.705882352941,2074.117283950617,0.06071043014526367,3423,26290
thyroid_ann,2,5,0.3840363025665283,0,8689,4872,6407,656,9251.519607843138,14073.146296296296,0.06951355934143066,4020,3505051
seeds,2,2,0.0092775821685791,0,238,171,112,70,238.0,177.75,0.010128021240234375,588,407
seeds,2,3,0.0177640914916992,0,794,233,516,147,965.375,422.25,0.013182878494262695,998,3683
seeds,2,5,0.0192432403564453,0,859,276,581,192,1966.6125,1087.84375,0.015354633331298828,1235,122438
hv_no_noise,0,2,1.4209012985229492,0,80200,20200,26667,365,80200.0,20200.0,1.5399317741394043,160000,80201
hv_no_noise,0,3,21.95768713951111,0,727000,667000,350067,431,727000.0,667000.0,2.0095925331115723,199200,10667001
statlog_australian,1,2,0.0328214168548584,0,1653,298,662,252,1653.0,348.5,0.042386770248413086,3249,1654
