dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
wpbc,R,5,1.4406507015228271,0,82535,2420,48640,425,121467.41666666667,6770.866666666667,0.21840500831604004,19855,309694088
volcanoes-a3,4,2,0.0058557987213134,0,61,42,25,25,57.458333333333336,42.708333333333336,0.004250526428222656,134,79
volcanoes-a3,4,3,0.0073969364166259,0,121,61,44,44,102.33680555555556,54.625,0.004571199417114258,179,299
volcanoes-a3,4,5,0.0071628093719482,0,121,61,44,44,116.35416666666667,65.77777777777777,0.004776716232299805,191,299
winsconsin,4,2,0.0105125904083251,0,234,195,158,131,232.5,188.5,0.008675336837768555,486,254
winsconsin,4,3,0.0263688564300537,0,919,436,705,324,905.4166666666666,503.0,0.012716293334960938,716,1794
winsconsin,4,5,0.0443623065948486,0,1662,606,1357,489,2486.909375,829.6,0.015275239944458008,853,35443
optical,5,2,0.4541258811950683,0,14196,1736,5746,484,14185.521186440677,1877.5254237288136,0.4024007320404053,29207,15754
optical,5,3,1.851511001586914,0,57163,7776,31025,775,77503.49435028249,22085.209039548023,0.4516637325286865,32009,924354
optical,5,5,22.092679977416992,0,660477,111731,446013,1906,1919553.5498764124,493796.69420903956,0.49759817123413086,33868,1407982314
NormalDist_Random-Synthetic__2_12_5886_,0,2,0.0508742332458496,0,1373,1135,701,271,1378.0,1146.5,0.05265402793884277,2918,1486
NormalDist_Random-Synthetic__2_12_5886_,0,3,0.3768420219421386,0,16291,7401,8256,436,16524.25,9379.333333333334,0.07712936401367188,4905,26290
NormalDist_Random-Synthetic__2_12_5886_,0,5,4.633609294891357,0,221418,31011,119567,702,314047.43333333335,58362.2,0.09746408462524414,6374,3505051
horse_colic_lesion,1,2,0.0054919719696044,0,1,0,0,0,1.0,0.0,0.004952669143676758,2,2486
horse_colic_lesion,1,3,0.005533218383789,0,1,0,0,0,1.0,0.0,0.005705356597900391,2,57226
horse_colic_lesion,1,5,0.0055570602416992,0,1,0,0,0,1.0,0.0,0.00573420524597168,2,13077135
contraceptive,3,2,0.0157628059387207,0,427,364,195,158,424.0,376.5,0.014745473861694336,902,466
contraceptive,3,3,0.0609865188598632,0,2581,1225,1203,311,2857.0833333333335,1713.1666666666667,0.022572755813598633,1499,4526
contraceptive,3,5,0.1737928390502929,0,8105,2563,4394,548,19045.045833333334,7279.658333333334,0.029479503631591797,2025,174437
heart_switzerland,1,2,0.0106472969055175,0,341,84,132,52,310.0,89.23529411764706,0.010941028594970703,682,596
heart_switzerland,1,3,0.0216267108917236,0,942,163,355,118,702.4754901960785,144.72549019607843,0.012903690338134766,829,6580
heart_switzerland,1,5,0.032933235168457,0,1550,252,641,189,1524.5404411764705,283.843137254902,0.015793323516845703,963,331212
saheart,1,2,0.0164413452148437,0,547,487,291,194,548.0,481.0,0.01692366600036621,1158,596
saheart,1,3,0.0799899101257324,0,3985,865,2131,323,3995.5833333333335,955.8333333333333,0.02540278434753418,1922,6580
saheart,1,5,0.1448252201080322,0,7667,914,4416,339,8397.293749999999,1213.1666666666667,0.02732539176940918,2066,331212
analcatdata_boxing2,2,2,0.0073945522308349,0,204,36,89,16,204.56,39.88,0.007570981979370117,602,326
analcatdata_boxing2,2,3,0.009742259979248,0,336,36,150,16,294.72,43.24,0.008371829986572266,625,2626
analcatdata_boxing2,2,5,0.009761095046997,0,336,36,150,16,229.84,32.68,0.008028507232666016,604,2626
analcatdata_lawsuit,2,2,0.0051760673522949,0,65,33,22,21,59.67857142857143,28.642857142857142,0.003571033477783203,128,106
analcatdata_lawsuit,2,3,0.0060727596282958,0,103,45,43,32,118.79464285714286,47.392857142857146,0.004511594772338867,191,470
analcatdata_lawsuit,2,5,0.0064489841461181,0,109,46,47,33,129.54241071428572,45.357142857142854,0.004656076431274414,194,1471
pc1_req,2,2,0.0080697536468505,0,161,104,70,49,142.76315789473685,103.23684210526316,0.0057163238525390625,287,191
pc1_req,2,3,0.0178284645080566,0,670,352,254,142,565.328947368421,332.05263157894734,0.008516788482666016,484,1160
pc1_req,2,5,0.0416853427886962,0,1948,790,735,216,2107.059210526316,999.0,0.012292623519897461,714,16664
robot1,collision,2,0.0124540328979492,0,305,237,171,139,316.5,231.80357142857142,0.012375593185424805,702,407
robot1,collision,3,0.0305652618408203,0,1201,407,796,228,1580.8973214285713,699.0654761904761,0.019782066345214844,1115,3683
robot1,collision,5,0.0661911964416503,0,3057,750,1842,367,3226.4660528273807,767.4360119047619,0.0190126895904541,1141,122438
credit-g,1,2,0.0679821968078613,0,3027,1121,1491,251,2994.05625,1005.7375,0.07439541816711426,6242,3241
credit-g,1,3,0.2666056156158447,0,13184,2480,7847,371,23266.90625,6541.625,0.09979963302612305,8171,85401
credit-g,1,5,0.5176892280578613,0,25377,4409,16727,653,134374.8060546875,19553.91,0.1093602180480957,8668,25706997
lsvt,1,2,8.167775392532349,0,454334,1746,260123,476,419859.9418604651,1352.6976744186047,9.341916799545288,940240,778129
lsvt,1,3,14.185956478118896,0,788931,4317,510185,595,680233.7674418605,10922.612403100775,9.697210550308228,943069,323183744
lsvt,1,5,36.86164402961731,0,2130760,96324,1338268,678,6409517.861361434,858884.2189922481,9.704589128494263,944252,25027252491488
acute-inflammations,2,2,0.00581955909729,0,69,54,43,42,74.71428571428571,52.857142857142854,0.007904767990112305,156,106
acute-inflammations,2,3,0.0088016986846923,0,183,111,122,97,207.95833333333331,126.05952380952381,0.005826234817504883,259,470
acute-inflammations,2,5,0.0107786655426025,0,283,142,197,133,312.7390625,142.6642857142857,0.0068318843841552734,297,3473
cardio10,8,2,0.0514674186706543,0,1830,503,607,290,1657.5,362.875,0.05070352554321289,3470,2347
cardio10,8,3,0.1378817558288574,0,6324,1086,2561,685,5429.375,1360.125,0.06061887741088867,4000,52463
cardio10,8,5,0.4609055519104004,0,22614,2715,10684,1473,45929.515234375,11049.95625,0.07056236267089844,4555,11290976
phishing,-1,2,0.1324911117553711,0,2246,1067,1169,347,2255.860294117647,991.2205882352941,0.09840631484985352,4558,2347
phishing,-1,3,0.5707507133483887,0,12633,3806,7898,679,16968.84681372549,7711.583333333333,0.12459087371826172,6085,52463
phishing,-1,5,6.643800020217896,0,156820,36053,112979,2087,443345.60778952204,157995.15330882353,0.14410829544067383,7243,11290976
prnn_synth,1,2,0.0043919086456298,0,25,19,12,9,25.0,19.5,0.005469322204589844,66,37
prnn_synth,1,3,0.0044062137603759,0,25,19,12,9,25.0,19.5,0.0024411678314208984,66,37
prnn_synth,1,5,0.0045862197875976,0,25,19,12,9,25.0,20.0,0.0024487972259521484,66,37
