dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
analcatdata_boxing2,2,3,0.0104479789733886,0,362,176,150,16,349.3,158.36,0.027125835418701172,2948,2626
analcatdata_boxing2,2,5,0.0110580921173095,0,362,176,150,16,353.3,154.2,0.027330398559570312,2943,2626
analcatdata_lawsuit,2,2,0.0056021213531494,0,50,33,22,21,50.0,33.39,0.011465787887573242,814,106
analcatdata_lawsuit,2,3,0.0059595108032226,0,76,56,44,32,77.3375,56.64,0.016330480575561523,1256,470
analcatdata_lawsuit,2,5,0.006603717803955,0,83,63,51,33,82.34375,61.38,0.018338918685913086,1418,1471
pc1_req,2,2,0.0083012580871582,0,172,132,71,49,172.0,133.65,0.02014636993408203,1719,191
pc1_req,2,3,0.0146896839141845,0,550,373,277,148,586.375,363.9,0.03190469741821289,2850,1160
pc1_req,2,5,0.0274770259857177,0,1124,799,609,236,1314.9775,916.1865,0.043823957443237305,3742,16664
robot1,collision,2,0.0118966102600097,0,328,202,171,139,328.0,187.75,0.03249549865722656,2428,407
robot1,collision,3,0.0235650539398193,0,987,293,706,214,1081.90625,312.0,0.048790931701660156,3729,3683
robot1,collision,5,0.0243575572967529,0,1026,307,745,223,1211.0416666666667,342.9895833333333,0.051589250564575195,3903,122438
credit-g,1,2,0.0584108829498291,0,3240,823,1502,251,3240.0,854.0,0.08979415893554688,7980,3241
credit-g,1,3,0.1566839218139648,0,8431,2152,5064,359,9133.0,3577.733333333333,0.1144416332244873,9811,85401
credit-g,1,5,0.3214912414550781,0,11983,4180,7850,435,13755.741666666667,8936.12,0.12204980850219727,10353,25706997
lsvt,1,2,4.449085712432861,0,285128,1325,219940,476,285128.0,4211.09,0.8220632076263428,76547,778129
lsvt,1,3,4.473705053329468,0,286637,1614,221449,514,286670.55833333335,8627.016666666666,1.0728168487548828,76883,323183744
