dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
ionosphere,b,5,1.116065502166748,0,95108,7455,2125,1180,47412.364,1799.3253333333334,0.15870881080627441,13584,275584033
grammatical_b7,1,2,1.4313337802886963,0,84822,5644,5327,1674,124038.2625,2123.875,0.4796757698059082,26586,701521
grammatical_b7,1,3,23.92757129669189,0,1514008,68239,66982,6094,446578.51875,22497.1,0.7074503898620605,27593,276633905
wine_quality,4,2,0.0421984195709228,0,1015,818,427,247,1014.38,662.48,0.08550024032592773,4548,1082
wine_quality,4,3,0.1560306549072265,0,6755,1737,1167,470,6994.265,1808.4166666666667,0.10334610939025879,6566,16262
wine_quality,4,5,0.4780371189117431,0,24427,3417,2837,921,34705.66933333333,8980.031333333334,0.11319255828857422,7187,1550201
VehicleCouponRecommendation,0,2,0.1125259399414062,0,3267,1476,835,340,3735.64,1406.04,0.1614696979522705,9093,4187
VehicleCouponRecommendation,0,3,0.6421849727630615,0,28040,6236,3142,679,36964.138333333336,10375.606666666667,0.2091076374053955,11908,125672
VehicleCouponRecommendation,0,5,4.437813520431519,0,221420,38308,15438,1377,271942.5553020833,36254.75541666667,0.22472119331359863,12594,49302800
auto7_2,class3,2,0.0211560726165771,0,734,700,333,222,736.15,650.545,0.0528411865234375,3841,781
auto7_2,class3,3,0.1230130195617675,0,6914,2613,1645,503,7125.4875,2289.78,0.08639073371887207,6781,9920
auto7_2,class3,5,0.4078917503356933,0,28894,3936,2515,656,23933.59496875,3858.57125,0.09520554542541504,7503,667928
wave,0,2,0.1002407073974609,0,3293,1574,1116,489,3445.0,838.9,0.12515664100646973,8386,3571
wave,0,3,0.8647415637969971,0,44761,4251,3566,958,21648.43,2189.76,0.15206408500671387,10193,98855
wave,0,5,3.308642864227295,0,193729,9648,8185,1692,259259.320125,23518.396,0.16448688507080078,11141,32900372
cnae9,4,2,13.211993932724,0,785835,369743,261398,816,725904.175,377000.35,1.2545263767242432,92725,1662577
grammatical_a9,1,2,1.3208839893341064,0,81716,4928,4594,1193,61886.75,3173.65,0.47475171089172363,14094,711029
grammatical_a9,1,3,29.055817127227783,0,1935438,82156,81482,2792,738618.7041666667,31650.583333333332,0.5747482776641846,17808,282279309
teaching,2,2,0.0080721378326416,0,340,48,21,21,396.09,49.705,0.0277712345123291,1661,1771
teaching,2,3,0.0095710754394531,0,474,60,25,25,648.3983333333333,55.825,0.02449631690979004,1900,34280
teaching,2,5,0.0096960067749023,0,494,60,25,25,772.863125,62.85166666666667,0.025739431381225586,1950,5495792
auto6_1,class8,2,0.2250418663024902,0,11864,5460,4344,484,11867.8,4962.55,0.17949128150939941,15557,12091
auto6_1,class8,3,2.865155935287476,0,193653,7387,6833,828,247832.95416666666,17029.3,0.27193427085876465,22405,620776
auto6_1,class8,5,4.788726329803467,0,362171,7377,6847,884,702638.0584375,20993.425,0.2752370834350586,22418,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.596357345581055,0,4601,4601,2314,436,4601.0,4601.0,35.31704020500183,5646,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,499.3382978439331,0,124601,64957,32506,750,129101.0,63501.0,36.26350736618042,5742,166751
ozone8,1,2,0.2991447448730469,0,15403,1994,1652,656,33922.62,1761.8,1.1949434280395508,24988,41042
ozone8,1,3,1.654578685760498,0,99693,6701,6543,1450,127227.35,9887.106666666667,0.34984922409057617,26018,3899182
ozone8,1,5,27.36983370780945,0,1752569,73265,72909,4072,1765489.3461666666,270744.00533333333,0.35431838035583496,26448,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0143427848815917,0,9,9,0,0,9.0,9.0,0.016585111618041992,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0131678581237792,0,9,9,0,0,9.0,9.0,0.015727758407592773,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013124942779541,0,9,9,0,0,9.0,9.0,0.01561737060546875,306,11
bach, C#d,2,0.0273785591125488,0,574,191,184,168,506.555,174.36,0.044168949127197266,2151,1226
bach, C#d,3,0.0888850688934326,0,3622,702,701,395,1640.5541666666666,447.19666666666666,0.056925058364868164,2878,19650
bach, C#d,5,0.5156750679016113,0,29218,2858,2857,938,7571.445479166667,1892.714,0.0707402229309082,3634,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.817412614822388,0,76401,76401,38263,673,76401.0,76401.0,16.535755157470703,40302,80201
polish_bankruptcy_1year,1,2,0.3169648647308349,0,14409,1622,1454,494,32176.545,1893.3,0.504847526550293,25558,32897
polish_bankruptcy_1year,1,3,1.5978271961212158,0,86689,6612,5428,1249,120050.80833333333,8258.116666666667,0.37153196334838867,26504,2796417
polish_bankruptcy_1year,1,5,19.281157970428467,0,1244141,131522,118017,2633,2466429.6589791668,218423.51633333333,0.3758387565612793,27375,8987138113
coil2000,1,2,1.830451250076294,0,82626,11794,6885,1136,110781.5,7746.95,0.661292552947998,37552,211576
coil2000,1,3,12.638957500457764,0,585210,94248,57148,1762,1381042.5291666666,232623.08333333334,0.7687978744506836,42150,45771376
coil2000,1,5,453.70777320861816,0,19236438,4068103,2602429,4931,86666248.45921876,13242655.429166667,0.8254034519195557,45652,959528325406
robot2,back_col,2,0.0110197067260742,0,317,288,147,135,330.08,251.25,0.04378104209899902,2530,407
robot2,back_col,3,0.0249817371368408,0,1257,401,315,209,1230.6333333333332,376.48333333333335,0.046178579330444336,3543,3683
robot2,back_col,5,0.0410199165344238,0,2517,458,374,264,2523.9429375,494.87,0.05726122856140137,3976,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0238823890686035,0,553,553,269,204,556.1,556.1,0.05140209197998047,3437,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1131834983825683,0,4722,4014,2246,476,4990.833333333333,3811.9166666666665,0.0892629623413086,6312,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.5235276222229004,0,34268,5881,3647,597,26160.815208333333,4798.304166666667,0.11187911033630371,8066,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0033962726593017,0,9,9,0,0,9.0,9.0,0.006467580795288086,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0035071372985839,0,9,9,0,0,9.0,9.0,0.005968809127807617,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0033085346221923,0,9,9,0,0,9.0,9.0,0.005919933319091797,306,11
auto6_3,class1,2,0.1991076469421386,0,11533,2747,2331,529,11863.15,2160.925,0.17351317405700684,15557,12091
auto6_3,class1,3,1.13934063911438,0,95718,3352,3137,762,135866.50833333333,5457.775,0.22127103805541992,19267,620776
auto6_3,class1,5,1.919645071029663,0,176386,3428,3215,769,118478.32739583333,3312.704166666667,0.2302260398864746,17856,722277712
grammatical_b1,1,2,3.1800050735473637,0,197421,7206,6697,1497,207799.46,3774.92,0.6172440052032471,42301,719401
grammatical_b1,1,3,36.994080781936646,0,2353463,69555,55629,3351,758755.5583333333,26228.233333333334,0.860182523727417,43298,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0473468303680419,0,1163,1163,567,273,1158.0,1158.0,0.08591675758361816,4952,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3597879409790039,0,15637,11553,6427,675,16004.958333333334,8867.333333333334,0.13756108283996582,9281,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,2.182856559753418,0,130500,18420,11302,846,132408.24479166666,16790.516666666666,0.1669166088104248,11406,2369936
volcanoes-a1,4,2,0.0057921409606933,0,61,42,22,22,57.6325,43.625,0.01687788963317871,1014,79
volcanoes-a1,4,3,0.0073070526123046,0,121,61,41,41,112.68291666666667,62.78333333333333,0.022878170013427734,1468,299
volcanoes-a1,4,5,0.0071485042572021,0,121,61,41,41,110.405,58.75,0.02226877212524414,1433,299
vert3,NO,2,0.0091137886047363,0,265,196,115,115,255.6325,176.49,0.028511524200439453,2226,301
vert3,NO,3,0.0201880931854248,0,1153,297,205,179,932.5225,231.46,0.039284467697143555,3195,2325
vert3,NO,5,0.0259394645690917,0,1677,312,226,194,1282.1435833333333,260.4150833333333,0.041613101959228516,3306,55455
CongressionalVotingRecords_UCI_,republican,2,0.0178983211517334,0,706,345,230,211,1102.8575,238.35,0.05289196968078613,4650,1177
CongressionalVotingRecords_UCI_,republican,3,0.0407531261444091,0,2212,577,524,355,2908.107916666667,720.9616666666667,0.06195545196533203,5218,18473
CongressionalVotingRecords_UCI_,republican,5,0.1288232803344726,0,8290,1233,1232,750,15346.757057291667,3915.2579166666665,0.06843900680541992,5672,1925357
pitt2_2,WOOD,2,0.0060338973999023,0,161,52,27,27,152.345,53.08,0.01755547523498535,1325,277
pitt2_2,WOOD,3,0.0083916187286376,0,340,77,40,40,328.31916666666666,74.52333333333334,0.022997617721557617,1757,2048
pitt2_2,WOOD,5,0.0089988708496093,0,401,79,41,41,392.0347708333333,74.15,0.02479076385498047,1823,44552
