dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
onehund_tex,Acer Capillipes,3,3.814831018447876,0,190989,63950,109540,771,249599.15220207255,122111.75388601037,0.5203769207000732,38770,1198338
onehund_tex,Acer Capillipes,5,116.76921892166138,0,5913344,1033107,3889032,1517,42724819.94538536,17210644.99831606,0.7551014423370361,53933,2175230626
grammatical_b3,0,2,3.714482307434082,0,190905,3971,123473,644,156606.94523411372,3620.15635451505,5.370077610015869,381526,715807
grammatical_b3,0,3,33.20705056190491,0,1792315,88932,1199602,962,1108585.2179835562,75887.83709587513,5.991219520568848,406337,285130587
volcanoes-a4,5,2,0.0060949325561523,0,61,47,18,18,61.0,43.0,0.010854244232177734,146,79
volcanoes-a4,5,3,0.0075271129608154,0,117,66,37,37,116.25,61.0,0.0048253536224365234,198,299
volcanoes-a4,5,5,0.0074391365051269,0,117,66,37,37,122.83333333333333,77.16666666666667,0.005003452301025391,209,299
chronic_kidney_disease,ckd,2,0.050166368484497,0,2395,495,1118,278,2373.597972972973,337.81081081081084,0.05575895309448242,4960,2776
chronic_kidney_disease,ckd,3,0.134596586227417,0,6985,908,3920,532,5912.789977477478,769.6891891891892,0.06232905387878418,5346,67600
chronic_kidney_disease,ckd,5,0.4498984813690185,0,25226,3263,12741,873,14647.73153856982,1948.8212837837839,0.07591462135314941,5464,17326990
PopularKids,2,2,0.0184836387634277,0,671,496,294,184,676.5,509.0,0.021476030349731445,1446,742
PopularKids,2,3,0.0948610305786132,0,5002,2210,2010,351,4845.25,2184.6666666666665,0.031943559646606445,2280,9178
PopularKids,2,5,0.4918243885040283,0,28161,6037,11006,494,33381.43645833333,8593.875,0.03931927680969238,2903,584935
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,2,0.4869506359100342,0,4601,4601,2350,396,4601.0,4601.0,0.5138747692108154,10002,5051
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,3,5.689461946487427,0,124601,66237,64694,654,128426.0,66146.0,0.8093271255493164,18902,166751
ED_LVL_2_2_EqualDist_Random-Synthetic__2_10_100000_,1,5,49.703187227249146,0,1204801,66237,671440,654,1166988.5,64736.0,0.9711248874664307,22811,79375496
yeast,ME1,2,0.0106446743011474,0,198,133,78,78,218.16071428571428,131.17857142857142,0.020046472549438477,506,407
yeast,ME1,3,0.0226156711578369,0,750,446,357,195,855.7410714285714,505.10714285714283,0.015717267990112305,839,3683
yeast,ME1,5,0.045285940170288,0,1808,721,1215,276,3758.9154017857145,1742.4785714285715,0.021526813507080078,1184,122438
auto8,class9,2,124.9102499485016,0,6482538,4095349,3036422,1272,6478837.683908046,5126275.624521073,20.253234386444092,1881241,6499816
analcatdata_dmft,1,2,0.0084524154663085,0,171,122,67,54,172.5,125.5,0.021664142608642578,443,232
analcatdata_dmft,1,3,0.0136685371398925,0,394,225,163,104,676.5,299.3333333333333,0.011272907257080078,685,1562
analcatdata_dmft,1,5,0.0151915550231933,0,469,232,198,109,566.875,187.83333333333334,0.009896516799926758,638,7547
pc2,2,2,0.1600675582885742,0,4706,2660,1365,336,4406.211538461538,2689.230769230769,0.13695549964904785,9154,5461
pc2,2,3,2.284907102584839,0,98036,42860,27776,813,82249.89743589744,41473.96153846154,0.22291851043701172,15138,187565
pc2,2,5,211.4992525577545,0,10502673,3423710,2891868,1348,7225473.978525641,3094224.655769231,0.3483541011810303,23400,96748211
scene,2,2,15.756720304489136,0,702113,417815,346317,1125,700345.4860876898,347796.51644182124,16.848172426223755,1403040,703892
scene,2,5,727.9437036514282,0,35294491,1048821,27681998,2581,2227564029.0619483,68108057.03253676,20.37269425392151,1604756,19472206229484
first,1,2,0.4837527275085449,0,16587,7933,7199,445,16151.475409836066,6407.054644808743,0.5215620994567871,32576,16837
first,1,3,5.371882438659668,0,216164,50110,111048,826,319280.6525500911,102000.34972677595,0.6422009468078613,44582,1021568
first,1,5,37.1684148311615,0,1538386,356072,942717,2245,20844188.13665756,5495772.925774135,0.7879712581634521,52792,1664856104
ecoli,om,2,0.0081949234008789,0,165,86,66,58,167.34375,77.5625,0.011564254760742188,362,301
ecoli,om,3,0.0158426761627197,0,517,209,223,143,485.546875,183.29166666666666,0.009658336639404297,538,2325
ecoli,om,5,0.0282669067382812,0,1181,305,527,194,1128.8645833333333,288.3229166666667,0.012553691864013672,684,55455
grammatical_a7,1,2,6.7972800731658936,0,332939,15579,173242,709,290640.3189873418,13261.901265822786,8.792111873626709,668342,702706
grammatical_a7,1,3,106.57447290420532,0,5417239,544596,3824937,1167,3973174.700843882,577739.9130801688,9.792268514633179,721385,277335426
