dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
volcanoes-a3,4,2,0.0062623023986816,0,67,41,25,25,67.0,42.625,0.004214763641357422,132,79
volcanoes-a3,4,3,0.0068390369415283,0,89,60,44,44,87.47222222222221,54.236111111111114,0.004473447799682617,185,299
volcanoes-a3,4,5,0.006739854812622,0,89,60,44,44,90.68055555555556,56.833333333333336,0.0044405460357666016,189,299
winsconsin,4,2,0.0106141567230224,0,253,134,158,131,253.0,155.5,0.008653879165649414,484,254
winsconsin,4,3,0.0174555778503417,0,641,191,533,239,752.6666666666666,270.3333333333333,0.011955976486206055,708,1794
winsconsin,4,5,0.017592430114746,0,677,205,569,255,1223.725,471.28333333333336,0.01284646987915039,777,35443
optical,5,2,0.4202711582183838,0,13707,1001,5690,484,13707.0,1144.7457627118645,0.3952164649963379,29205,15754
optical,5,3,0.7859981060028076,0,22989,5484,14134,770,22954.35668789809,7451.723163841808,0.4244801998138428,31060,924354
optical,5,5,11.821356534957886,0,128901,93598,112529,1194,152713.19426751594,200813.56073446327,0.47987961769104004,32926,1407982314
NormalDist_Random-Synthetic__2_12_5886_,0,2,0.0505988597869873,0,1485,1045,701,271,1485.0,1097.5,0.04953169822692871,2916,1486
NormalDist_Random-Synthetic__2_12_5886_,0,3,0.3190245628356933,0,12668,6440,6367,357,14572.588235294117,6594.333333333333,0.07121562957763672,4780,26290
NormalDist_Random-Synthetic__2_12_5886_,0,5,4.077934503555298,0,55498,18171,30427,359,48513.123529411765,21187.791666666668,0.08478641510009766,5802,3505051
horse_colic_lesion,1,2,0.0069692134857177,0,70,0,0,0,70.0,0.0,0.0060460567474365234,70,2486
horse_colic_lesion,1,3,0.0066542625427246,0,70,0,0,0,70.0,0.0,0.006798505783081055,70,57226
horse_colic_lesion,1,5,0.0066974163055419,0,70,0,0,0,70.0,0.0,0.006819963455200195,70,13077135
contraceptive,3,2,0.0148634910583496,0,465,329,195,158,465.0,352.0,0.015056848526000977,900,466
contraceptive,3,3,0.0457677841186523,0,2163,886,1147,290,2282.0,1133.8333333333333,0.0212557315826416,1453,4526
contraceptive,3,5,0.077216625213623,0,3133,1494,1902,338,7493.558333333333,3567.0833333333335,0.025965213775634766,1855,174437
heart_switzerland,1,2,0.0086658000946044,0,224,83,103,52,224.0,88.82352941176471,0.010106563568115234,680,596
heart_switzerland,1,3,0.0110635757446289,0,334,161,190,119,410.37254901960785,150.39215686274508,0.012323141098022461,859,6580
heart_switzerland,1,5,0.0126457214355468,0,434,250,286,195,497.84313725490193,231.68627450980392,0.013511180877685547,921,331212
