dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
ionosphere,b,3,0.4150857925415039,0,22717,989,11981,513,19701.0,1273.3333333333333,0.21214866638183594,17027,349633
ionosphere,b,5,1.2529449462890625,0,72532,3772,36091,703,40791.614583333336,1526.7916666666667,0.2020721435546875,17156,275584033
grammatical_b7,1,2,3.1015784740448,0,151802,3645,96245,919,122657.98669763513,1163.252956081081,4.312976121902466,301922,701521
grammatical_b7,1,3,26.181166887283325,0,1333008,46268,1003780,2015,293251.15603885136,9043.951858108108,4.699822187423706,308426,276633905
wine_quality,4,2,0.0431234836578369,0,1015,793,440,237,1016.0,766.0,0.05100893974304199,2118,1082
wine_quality,4,3,0.1734375953674316,0,6711,1557,3810,433,9458.25,2781.5,0.06349563598632812,3425,16262
wine_quality,4,5,0.5165054798126221,0,22547,3029,13443,774,73006.24791666666,15444.675,0.06667566299438477,3940,1550201
VehicleCouponRecommendation,0,2,0.1249165534973144,0,3756,1389,1798,308,3813.5,1477.0,0.148543119430542,8283,4187
VehicleCouponRecommendation,0,3,0.7199516296386719,0,29107,5793,14635,580,38498.5,12231.0,0.20093941688537598,10978,125672
VehicleCouponRecommendation,0,5,4.854736089706421,0,210127,35127,88658,1073,490502.13125000003,69369.01666666666,0.2138974666595459,12275,49302800
auto7_2,class3,2,0.023249864578247,0,734,696,348,218,729.5,681.0,0.024846315383911133,1523,781
auto7_2,class3,3,0.1418941020965576,0,6894,2502,3564,468,7664.75,3312.3333333333335,0.036609649658203125,2760,9920
auto7_2,class3,5,0.5212936401367188,0,27075,3610,14942,582,53079.46979166666,9206.008333333333,0.04503917694091797,3409,667928
wave,0,2,0.1064465045928955,0,3445,1449,1701,413,3445.0,664.0,0.10606884956359863,7058,3571
wave,0,3,0.9532055854797364,0,42513,3255,28964,663,24937.333333333332,3228.0,0.13598322868347168,8866,98855
wave,0,5,2.874836206436157,0,133841,5359,104173,772,381459.725,67011.21666666666,0.1387016773223877,9099,32900372
cnae9,4,2,15.863161563873293,0,827777,369733,350349,838,725740.7268041237,369641.33218785794,20.172401189804077,1588939,1662577
grammatical_a9,1,2,1.653336763381958,0,81614,3326,64153,528,61930.94672818792,2477.1073825503354,2.50958251953125,154962,711029
grammatical_a9,1,3,30.16852879524231,0,1559731,61789,1259072,699,649160.1050055928,22012.897371364652,3.1782619953155518,193439,282279309
teaching,2,2,0.0099217891693115,0,340,48,102,21,388.90677966101697,51.855932203389834,0.021375179290771484,1005,1771
teaching,2,3,0.0122284889221191,0,474,60,134,25,638.0840395480226,48.3502824858757,0.01637554168701172,1116,34280
teaching,2,5,0.0125994682312011,0,494,60,143,25,719.4793432203389,55.16949152542373,0.017581939697265625,1149,5495792
auto6_1,class8,2,0.243753433227539,0,11864,5063,5641,418,11865.5,4845.5,0.28148961067199707,24027,12091
auto6_1,class8,3,3.561270236968994,0,188257,6011,117973,657,204484.75,11239.5,0.3961758613586426,32685,620776
auto6_1,class8,5,5.598218679428101,0,291220,6023,194310,677,639261.1177083333,20243.375,0.4073300361633301,33456,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.55272889137268,0,4601,4601,2314,357,4601.0,4601.0,35.504202365875244,5745,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,526.0844473838806,0,124601,64957,62297,453,128471.96774193548,58020.354838709674,36.636366844177246,5930,166751
ozone8,1,2,0.7411675453186035,0,34467,1458,15004,500,34001.77622377622,1146.9160839160838,1.7547268867492676,70930,41042
