dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
analcatdata_germangss,4,2,0.0074036121368408,0,144,135,25,25,143.74,135.73,0.019771337509155273,1720,172
analcatdata_germangss,4,3,0.0133967399597167,0,560,270,71,71,571.87,258.46,0.03257036209106445,2929,988
analcatdata_germangss,4,5,0.015765905380249,0,720,287,77,77,900.33175,285.31,0.03653407096862793,3184,12616
thyroid_allhypo,primary hypothyroid.,2,0.0485036373138427,0,1545,925,548,284,1383.245,837.05,0.06677818298339844,4566,2081
thyroid_allhypo,primary hypothyroid.,3,0.3566250801086426,0,15698,7610,5372,729,14980.653333333334,8589.506666666666,0.11246109008789062,7740,43745
thyroid_allhypo,primary hypothyroid.,5,10.361854553222656,0,494958,174603,157088,1774,487632.88840625,262640.2885,0.1664729118347168,11616,8303633
user,High,2,0.0078873634338378,0,181,148,71,71,173.57,148.82,0.023859024047851562,1822,211
user,High,3,0.0145735740661621,0,805,150,71,71,747.82125,152.24,0.03566265106201172,3096,1351
user,High,5,0.014639139175415,0,805,150,71,71,718.4553645833333,146.41333333333333,0.035295724868774414,3035,21700
thyroid_dis,discordant.,2,0.04988694190979,0,1530,1164,575,287,1538.29,1157.48,0.07230210304260254,5166,2081
thyroid_dis,discordant.,3,0.4726631641387939,0,20561,12603,7130,746,19669.086666666666,13233.526666666667,0.12303566932678223,9029,43745
thyroid_dis,discordant.,5,18.699546575546265,0,920763,395101,289496,1638,966645.0906666666,552585.214,0.19413208961486816,14823,8303633
synthetic_control,4,2,0.2292368412017822,0,13553,3534,3349,979,17388.8575,1546.3,0.2017056941986084,15442,28921
synthetic_control,4,3,2.1957385540008545,0,161349,21023,20806,2559,73667.80375,13019.26,0.22197628021240234,16729,2304201
synthetic_control,4,5,6.444087266921997,0,519869,45223,45171,4210,2689144.30196875,525756.4045,0.2559051513671875,18897,6500162589
titanic,1,2,0.0054936408996582,0,29,27,16,16,29.08,27.04,0.012835502624511719,710,37
titanic,1,3,0.0058908462524414,0,41,39,24,24,49.08,40.266666666666666,0.017931699752807617,1076,93
titanic,1,5,0.0060095787048339,0,41,39,24,24,50.1,41.42666666666667,0.017864704132080078,1085,93
secom,1,2,0.4363479614257812,0,19019,18685,8988,630,19018.88,18680.78,0.24396610260009766,19698,19307
secom,1,3,22.231749296188354,0,1167946,628082,496594,1128,1180216.47,923735.6066666667,0.4723372459411621,38468,1255087
secom,1,5,934.928704738617,0,71296453,5242178,4926556,1309,324009264.80929166,44547015.57033333,0.6752946376800537,56587,2350534656
wine,1,2,0.0238587856292724,0,1001,422,329,228,1034.645,299.62,0.05196523666381836,4154,1379
wine,1,3,0.0479109287261962,0,3577,311,284,226,3764.2075,370.46,0.06243586540222168,5074,23479
wine,1,5,0.0492346286773681,0,3629,290,284,221,4084.36015625,354.325,0.06465029716491699,4916,2893164
thyroid_allrep,overreplacement.,2,0.0448365211486816,0,1359,741,561,284,1196.0,757.6,0.06294059753417969,3966,2081
thyroid_allrep,overreplacement.,3,0.3413648605346679,0,15282,7204,5631,653,13437.833333333334,8235.133333333333,0.11260557174682617,7334,43745
thyroid_allrep,overreplacement.,5,9.992289304733276,0,502008,172885,160785,1277,424085.67270833335,226476.59333333332,0.16822314262390137,11248,8303633
post,S,2,0.0082447528839111,0,228,113,51,51,202.515,111.52,0.0222625732421875,1725,277
post,S,3,0.0168755054473876,0,846,274,128,123,716.6025,265.69,0.03317713737487793,2640,2048
post,S,5,0.030165672302246,0,1905,458,217,174,1645.4139375,438.274,0.04116034507751465,3146,44552
human,1,2,22.835925579071045,0,913152,62691,62212,1265,1330044.4,143988.175,2.569265127182007,132634,2492029
human,1,3,463.4614081382752,0,22103972,501375,501258,2162,58876899.1,4460547.55,3.635282278060913,148836,1853240389
connectionist_sonar,R,2,0.4003863334655761,0,27233,4022,2930,611,28561.0,3604.6,0.3824646472930908,24142,28921
connectionist_sonar,R,3,2.200782537460327,0,207453,3208,2177,685,337377.8,9225.0,0.3091919422149658,27750,2304201
connectionist_sonar,R,5,4.151800870895386,0,410057,3511,2066,713,853355.095,18153.02,0.3176305294036865,28830,6500162589
hiv_746,-1,2,0.1062860488891601,0,9841,385,123,120,9706.4775,372.825,0.12984490394592285,13962,12881
hiv_746,-1,3,0.2043216228485107,0,19701,610,125,122,18189.995,650.5933333333334,0.13705062866210938,14270,682801
hiv_746,-1,5,0.2912354469299316,0,28361,969,126,123,24329.384645833332,831.5713333333333,0.13817548751831055,14345,847361193
madelon,1,2,43.97809886932373,0,1988347,1972605,955478,1138,1988955.195,1983692.02,2.515850782394409,201300,1997002
NormalDist_Random-Synthetic__2_14_7418_,0,2,0.0694713592529296,0,1770,1728,866,319,1772.44,1732.485,0.1194000244140625,6063,1892
NormalDist_Random-Synthetic__2_14_7418_,0,3,0.6659431457519531,0,29974,23692,12367,600,30783.531666666666,25491.883333333335,0.17026281356811523,11453,37882
NormalDist_Random-Synthetic__2_14_7418_,0,5,18.39789843559265,0,1079176,332996,193773,864,1520532.1711354167,515084.24766666663,0.2428297996520996,17138,6508884
