dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
volcanoes-b5,4,2,0.0148220062255859,0,78,56,20,20,78.0,54.666666666666664,0.006113529205322266,133,79
volcanoes-b5,4,3,0.013376235961914,0,128,89,37,37,134.88888888888889,101.77777777777777,0.007524728775024414,205,299
volcanoes-b5,4,5,0.0118970870971679,0,128,89,37,37,132.88888888888889,95.55555555555556,0.007430553436279297,205,299
wilt,w,2,0.0162525177001953,0,210,158,78,78,210.0,153.75,0.009405136108398438,400,211
wilt,w,3,0.0242476463317871,0,648,245,308,179,610.8333333333334,409.1666666666667,0.012002706527709961,622,1351
wilt,w,5,0.0235400199890136,0,678,255,338,186,1191.3645833333333,756.7291666666666,0.015058517456054688,798,21700
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.1969437599182129,0,325,275,144,134,325.0,275.0,0.08613729476928711,625,326
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.3958029747009277,0,1575,1310,775,225,1575.0,1475.0,0.10387110710144043,1100,2626
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5705118179321289,0,4172,2804,2209,234,6240.625,4259.375,0.12160706520080566,1591,68406
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.0222973823547363,0,325,275,136,132,325.0,275.0,0.022061824798583984,625,326
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.0558204650878906,0,1575,1525,782,218,1575.0,1525.0,0.02292776107788086,1100,2626
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.171757698059082,0,4700,1530,2493,218,5565.625,2915.625,0.02970743179321289,1564,68406
mfeat-karhunen,8,2,0.7949268817901611,0,31631,491,13132,348,31631.0,509.38235294117646,0.7533900737762451,64006,32897
mfeat-karhunen,8,3,0.6423146724700928,0,32215,535,13716,383,32427.652173913044,779.0433006535948,0.7785215377807617,65207,2796417
mfeat-karhunen,8,5,0.6496939659118652,0,32221,536,13722,384,31816.521739130436,559.2132352941177,0.7794408798217773,65070,8987138113
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0043163299560546,0,7,5,4,4,7.0,5.0,0.003281831741333008,10,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.004183292388916,0,7,5,4,4,7.0,5.0,0.0016870498657226562,10,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0040814876556396,0,7,5,4,4,7.0,5.0,0.0016791820526123047,10,11
Iris_UCI_,Iris-virginica,2,0.005882978439331,0,82,52,42,27,82.0,45.5,0.003943681716918945,181,137
Iris_UCI_,Iris-virginica,3,0.0070295333862304,0,137,100,85,32,143.33333333333334,102.33333333333333,0.005122184753417969,269,697
Iris_UCI_,Iris-virginica,5,0.0073592662811279,0,156,119,104,32,166.70833333333334,112.83333333333333,0.005471467971801758,298,2517
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.0146417617797851,0,7,5,4,4,7.0,4.5,0.007226467132568359,10,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.0141868591308593,0,7,5,4,4,7.0,4.5,0.008595943450927734,10,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.0140917301177978,0,7,5,4,4,7.0,5.0,0.008653640747070312,10,11
thyroid_ann,2,2,0.0546596050262451,0,1089,486,471,235,1089.0,608.6976744186046,0.048005104064941406,2439,1486
thyroid_ann,2,3,0.1737489700317382,0,4208,1032,2540,484,2009.3333333333333,1647.6201550387598,0.05955767631530762,3179,26290
thyroid_ann,2,5,0.3840363025665283,0,8689,4872,6407,656,8867.266666666666,17672.272868217053,0.0733492374420166,4042,3505051
seeds,2,2,0.0092775821685791,0,238,171,112,70,238.0,181.36363636363637,0.010263919830322266,568,407
seeds,2,3,0.0177640914916992,0,794,233,516,147,808.8181818181819,584.0227272727273,0.012903213500976562,916,3683
seeds,2,5,0.0192432403564453,0,859,276,581,192,1990.259090909091,1541.9409090909091,0.016079425811767578,1202,122438
hv_no_noise,0,2,1.4209012985229492,0,80200,20200,26667,365,80200.0,20200.0,1.5310699939727783,160000,80201
hv_no_noise,0,3,21.95768713951111,0,727000,667000,350067,431,727000.0,667000.0,2.044342041015625,199200,10667001
statlog_australian,1,2,0.0328214168548584,0,1653,298,662,252,1653.0,436.3666666666667,0.04309678077697754,3193,1654
statlog_australian,1,3,0.0490403175354003,0,2593,415,1440,372,1874.54,862.3888888888889,0.04597115516662598,3746,30914
statlog_australian,1,5,0.050713300704956,0,2682,465,1526,414,2316.404,1170.8327777777777,0.05184626579284668,4091,4613030
hiv_schilling,1,2,0.1895725727081298,0,11038,271,3159,310,11038.0,330.6875,0.2623746395111084,23680,12881
hiv_schilling,1,3,0.2010149955749511,0,11162,271,3279,310,11146.487654320988,331.265625,0.2756669521331787,24407,682801
hiv_schilling,1,5,0.1944074630737304,0,11162,271,3279,310,11066.092592592593,268.25,0.27201104164123535,24255,847361193
heart-long-beach,4,2,0.0175473690032959,0,745,399,333,188,745.0,495.72727272727275,0.021439552307128906,1559,904
heart-long-beach,4,3,0.0482985973358154,0,2779,1174,1835,320,3554.5050505050503,2133.949494949495,0.02956366539001465,2378,12384
heart-long-beach,4,5,0.1111021041870117,0,4889,2477,3821,400,12716.746464646465,8376.514646464646,0.037780046463012695,3101,974982
datatrieve,2,2,0.0117101669311523,0,408,187,137,86,408.0,196.58333333333334,0.011900901794433594,840,466
datatrieve,2,3,0.0181775093078613,0,822,311,493,168,1053.9444444444443,632.5277777777777,0.01521611213684082,1156,4526
datatrieve,2,5,0.0218241214752197,0,986,412,657,238,1692.8305555555555,1262.5666666666666,0.01843857765197754,1380,174437
jEdit_4.0_4.2,2,2,0.0117957592010498,0,406,233,181,139,406.0,304.8181818181818,0.011342287063598633,757,407
jEdit_4.0_4.2,2,3,0.0233712196350097,0,1129,346,737,234,1694.2121212121212,899.3939393939394,0.016538619995117188,1224,3683
jEdit_4.0_4.2,2,5,0.0252652168273925,0,1207,392,810,273,5215.59393939394,3559.987878787879,0.019400596618652344,1475,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.062892198562622,0,325,275,143,134,325.0,275.0,7.193841218948364,625,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.33239459991455,0,1575,1525,787,227,1575.0,1525.0,9.622591495513916,1100,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,78.00572991371155,0,6833,5424,3455,234,7734.375,6946.875,11.732816219329834,1672,68406
pitt1_2,WOOD,2,0.0074834823608398,0,144,86,67,27,144.0,90.94736842105263,0.49663662910461426,369,301
pitt1_2,WOOD,3,0.0096082687377929,0,290,232,203,35,306.8070175438597,216.8421052631579,0.008643865585327148,550,2325
pitt1_2,WOOD,5,0.0155982971191406,0,571,513,482,35,684.9614035087719,538.3859649122807,0.01090097427368164,750,55455
backache,2,2,0.0549795627593994,0,3412,985,1670,358,3412.0,1076.25,0.07996940612792969,7381,4187
backache,2,3,0.1794688701629638,0,11102,3442,6495,570,10263.99358974359,7630.935185185185,0.10415840148925781,9511,125672
backache,2,5,1.2910103797912598,0,32696,17480,12061,753,33507.208974358975,82089.175,0.12534737586975098,11070,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9859113693237304,0,39395,10200,17712,410,39395.0,10775.820895522387,1.2611355781555176,93800,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.463412523269652,0,397358,12982,209685,410,455946.55913978495,14539.452736318408,1.6136350631713867,118400,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.848104238510132,0,398059,12982,210350,410,459451.35752688174,16276.218905472637,1.6300113201141357,117997,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0419244766235352,0,325,275,134,129,325.0,275.0,0.6808180809020996,625,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1294291019439697,0,1575,1525,766,208,1575.0,1525.0,0.8227999210357666,1100,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.583576917648315,0,7825,6365,3909,208,7825.0,7775.0,0.993934154510498,1675,68406
thyroid_hypothyroid,hypothyroid,2,0.0184473991394042,0,412,228,189,167,412.0,249.40740740740742,0.06931424140930176,925,596
thyroid_hypothyroid,hypothyroid,3,0.0469155311584472,0,1572,908,1041,346,1411.0123456790122,1155.9506172839506,0.025233745574951172,1348,6580
thyroid_hypothyroid,hypothyroid,5,0.4193315505981445,0,10140,9476,9130,636,12203.975308641975,11561.148148148148,0.033667802810668945,1915,331212
grammatical_a3,1,2,0.4494946002960205,0,22101,1004,21471,604,22101.0,1006.5887605042017,3.3343732357025146,243951,709837
grammatical_a3,1,3,0.5662169456481934,0,27295,3280,26664,661,27138.3104434907,3853.1530112044816,3.627246141433716,251969,281569472
grammatical_a3,1,5,1.7599520683288574,0,44206,19651,43575,679,56125.60005364807,29121.732230392157,3.7377536296844482,258507,19886491853720
crx,positive,2,0.0356256961822509,0,1891,355,729,261,1891.0,421.28125,0.05552053451538086,3661,1892
crx,positive,3,0.0573217868804931,0,3118,505,1662,392,2117.5714285714284,1138.03125,0.051500797271728516,4356,37882
crx,positive,5,0.0610692501068115,0,3281,591,1818,460,3254.1321428571428,2554.607986111111,0.0593113899230957,4841,6508884
GermanCredit_UCI_,2,2,0.0522232055664062,0,2850,803,1359,258,2850.0,901.875,0.06839227676391602,5625,2851
GermanCredit_UCI_,2,3,0.1510210037231445,0,8086,2301,4868,374,8144.6875,4568.541666666667,0.09041237831115723,7404,70376
