dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
ozone8,1,5,922.8702669143676,0,62048625,6397074,6391607,2728,168464336.96863344,30441273.475058276,1.5615551471710205,127492,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0158178806304931,0,9,9,0,0,9.0,9.0,0.009107589721679688,18,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.014723777770996,0,9,9,0,0,9.0,9.0,0.008418560028076172,18,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.0147278308868408,0,9,9,0,0,9.0,9.0,0.008337020874023438,18,11
bach, C#d,2,0.0305042266845703,0,609,226,208,174,509.8673469387755,227.28571428571428,0.02715468406677246,1080,1226
bach, C#d,3,0.1055054664611816,0,4086,1315,1250,416,3068.078231292517,1284.7074829931973,0.04069375991821289,1927,19650
bach, C#d,5,0.9109611511230468,0,51274,12981,12929,739,37137.01398809524,13441.18163265306,0.062226057052612305,3205,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.427500009536743,0,76401,76401,38263,642,76401.0,76401.0,26.47680950164795,79404,80201
polish_bankruptcy_1year,1,2,0.7752406597137451,0,32173,23378,13037,502,32175.919921875,23600.1796875,0.968325138092041,65026,32897
polish_bankruptcy_1year,1,3,34.20442533493042,0,1864865,790441,705568,1226,1840745.712890625,823198.1328125,1.397700309753418,111885,2796417
coil2000,1,2,3.216864585876465,0,154186,50507,28129,903,153571.92115384617,42866.096153846156,4.217076778411865,321752,211576
coil2000,1,3,140.87848377227783,0,8150313,1444980,890180,1829,6525870.239423077,1503312.1923076923,5.599449872970581,416000,45771376
robot2,back_col,2,0.0118410587310791,0,317,293,147,135,331.7142857142857,292.57142857142856,0.022457599639892578,730,407
robot2,back_col,3,0.031970739364624,0,1665,669,501,182,2075.4940476190477,978.6309523809524,0.018427610397338867,1269,3683
robot2,back_col,5,0.0539791584014892,0,3409,770,620,230,5700.614657738095,1285.082738095238,0.021410465240478516,1481,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0244169235229492,0,553,553,269,208,554.0,554.0,0.022467613220214844,1227,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1143960952758789,0,4722,4717,2441,426,4964.0,4702.666666666667,0.03602099418640137,2225,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.7876491546630859,0,53114,11646,6564,523,53590.04791666667,10713.5,0.048456668853759766,3180,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0038909912109375,0,9,9,0,0,9.0,9.0,0.0021619796752929688,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0044581890106201,0,9,9,0,0,9.0,9.0,0.0017087459564208984,18,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0040397644042968,0,9,9,0,0,9.0,9.0,0.0017096996307373047,18,11
auto6_3,class1,2,0.2231733798980713,0,11864,10527,5584,516,11862.5,10564.0,0.25977134704589844,24027,12091
auto6_3,class1,3,4.580793142318726,0,406849,40452,35913,680,521498.9166666667,75447.33333333333,0.4659609794616699,44987,620776
auto6_3,class1,5,16.4843168258667,0,1604599,42845,38289,682,2316767.6489583333,72787.25,0.4893345832824707,47114,722277712
grammatical_b1,1,2,4.541126728057861,0,291671,15378,14524,1451,616011.5473311093,8458.8682235196,14.162814378738403,1269743,719401
grammatical_b1,1,3,66.7687156200409,0,4359218,166429,151555,2998,2478985.755212677,79294.10341951626,14.711589336395264,1283368,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0485012531280517,0,1163,1163,567,268,1159.0,1159.0,0.05364370346069336,2502,1276
