dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
ionosphere,b,3,0.3063750267028808,0,21749,1943,1376,647,29736.893333333333,3734.7599999999998,0.1569361686706543,13741,349633
ionosphere,b,5,1.7233221530914309,0,151384,13104,2778,1205,156741.728,11040.392,0.15978217124938965,14180,275584033
grammatical_b7,1,2,3.0262451171875,0,178325,28593,27865,1608,202936.875,21958.455,0.6400468349456787,41386,701521
grammatical_b7,1,3,153.78107404708862,0,9992670,1131465,1129916,5231,6342558.75625,1013712.5733333334,0.9989602565765381,52441,276633905
wine_quality,4,2,0.0432941913604736,0,1015,1003,439,252,1015.3,1002.19,0.08180832862854004,4548,1082
wine_quality,4,3,0.2984170913696289,0,13027,9520,5332,485,13472.483333333334,10870.953333333333,0.13258790969848633,8599,16262
wine_quality,4,5,2.859675407409668,0,167103,43296,35681,983,380374.9060833333,121522.37783333333,0.1866588592529297,13197,1550201
VehicleCouponRecommendation,0,2,0.12644624710083,0,3659,2587,1449,333,3752.93,2743.74,0.17703652381896973,9093,4187
VehicleCouponRecommendation,0,3,1.1647751331329346,0,54258,17602,9971,670,65115.519166666665,30411.835,0.23783016204833984,14265,125672
VehicleCouponRecommendation,0,5,12.60820698738098,0,664842,133215,67457,1245,1907811.80546875,527979.9439166667,0.29805850982666016,17741,49302800
auto7_2,class3,2,0.0219182968139648,0,734,725,344,222,736.54,725.62,0.051888465881347656,3841,781
auto7_2,class3,3,0.1467702388763427,0,7842,4676,2721,461,8206.275,6111.26,0.08820700645446777,7228,9920
auto7_2,class3,5,0.7110316753387451,0,52762,8501,5591,588,86745.445125,16990.04675,0.11610579490661621,9739,667928
wave,0,2,0.1051294803619384,0,3325,2531,1578,497,3445.0,2408.02,0.12059521675109863,8386,3571
wave,0,3,1.1657819747924805,0,60209,12501,10604,991,55682.43,7849.68,0.1924881935119629,13430,98855
wave,0,5,9.327024459838867,0,562421,34552,30225,1696,350656.141375,29937.081,0.21184825897216797,14737,32900372
cnae9,4,2,12.6373872756958,0,788742,371922,263417,784,729646.7275,381418.165,1.2784984111785889,93625,1662577
grammatical_a9,1,2,1.6402230262756348,0,100764,8007,7514,1227,79026.7225,5801.355,0.5206654071807861,17394,711029
grammatical_a9,1,3,44.68762135505676,0,2863252,207079,205920,3316,1575274.3558333335,177180.09833333333,0.6464836597442627,24244,282279309
teaching,2,2,0.0087890625,0,340,48,21,21,387.9725,51.235,0.028041362762451172,1661,1771
teaching,2,3,0.0104281902313232,0,474,60,25,25,704.9445833333333,58.74333333333333,0.024801254272460938,1934,34280
teaching,2,5,0.0103125572204589,0,494,60,25,25,751.985,58.26166666666666,0.024950027465820312,1908,5495792
auto6_1,class8,2,0.2499725818634033,0,11864,11789,5641,481,11863.925,11774.8,0.19407200813293457,15557,12091
