dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.0192272663116455,0,276,276,136,132,276.0,276.0,0.02146315574645996,627,326
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.0511121749877929,0,1526,1526,782,313,1592.6666666666667,1526.0,0.023637771606445312,1102,2626
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.1419064998626709,0,6096,2620,1597,459,7934.854166666666,2851.0,0.03098320960998535,1538,68406
mfeat-karhunen,8,2,0.2755000591278076,0,13017,646,632,316,31586.6533203125,1102.556640625,0.7532904148101807,64258,32897
mfeat-karhunen,8,3,0.7323651313781738,0,39385,1109,1024,715,78090.93977864583,1684.955078125,0.7917613983154297,65507,2796417
mfeat-karhunen,8,5,2.6556434631347656,0,181657,2209,2093,1470,109979.06401367187,1540.7444661458333,0.7974450588226318,65631,8987138113
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0034999847412109,0,7,6,4,4,7.625,5.875,0.003295421600341797,14,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.0035836696624755,0,7,6,4,4,8.0,6.25,0.0019049644470214844,14,11
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0035703182220458,0,7,6,4,4,7.25,5.5,0.0017189979553222656,14,11
Iris_UCI_,Iris-virginica,2,0.0054967403411865,0,105,35,27,27,90.125,38.5,0.004149913787841797,194,137
Iris_UCI_,Iris-virginica,3,0.0061275959014892,0,177,41,32,32,183.5625,50.75,0.0052335262298583984,255,697
Iris_UCI_,Iris-virginica,5,0.0062932968139648,0,185,41,32,32,179.234375,44.0,0.005190610885620117,249,2517
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.0131199359893798,0,7,6,4,4,7.625,5.875,0.007604837417602539,14,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.0125818252563476,0,7,6,4,4,7.25,5.5,0.008240222930908203,14,11
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.0128676891326904,0,7,6,4,4,8.375,6.625,0.008379936218261719,14,11
thyroid_ann,2,2,0.0519013404846191,0,985,683,357,230,1190.5185185185185,616.0370370370371,0.04833579063415527,2486,1486
thyroid_ann,2,3,0.2472569942474365,0,7033,2326,1729,593,6649.57561728395,3333.3024691358023,0.06263065338134766,3307,26290
thyroid_ann,2,5,2.7734720706939697,0,85853,11280,10748,1187,115825.42901234567,56817.317901234564,0.07390260696411133,4026,3505051
seeds,2,2,0.0084648132324218,0,257,121,70,70,261.875,121.75,0.010424137115478516,590,407
seeds,2,3,0.0154411792755126,0,753,202,152,141,841.78125,218.0,0.01222372055053711,823,3683
seeds,2,5,0.0214104652404785,0,1205,239,201,185,1153.76796875,292.0125,0.013179779052734375,814,122438
hv_no_noise,0,2,1.156635284423828,0,79601,20201,10100,253,79601.0,20201.0,1.544137716293335,160002,80201
hv_no_noise,0,3,35.75713324546814,0,2666801,667001,333500,336,2196485.0,667001.0,2.0461337566375732,199202,10667001
statlog_australian,1,2,0.0273141860961914,0,1103,623,348,263,1303.8333333333333,482.140350877193,0.03976178169250488,2852,1654
statlog_australian,1,3,0.0812163352966308,0,4114,1133,774,499,6931.501461988304,2044.421052631579,0.0476534366607666,3728,30914
statlog_australian,1,5,0.1986377239227295,0,12339,2146,1408,894,19459.929824561405,2996.964912280702,0.05516242980957031,3819,4613030
hiv_schilling,1,2,0.1236486434936523,0,7741,757,626,391,10334.6125,426.5,0.2850005626678467,23682,12881
hiv_schilling,1,3,0.514641523361206,0,43161,762,628,394,21882.505208333332,492.7916666666667,0.28737664222717285,24348,682801
hiv_schilling,1,5,0.5221385955810547,0,43361,762,628,394,21287.730208333334,440.8375,0.27156591415405273,24250,847361193
heart-long-beach,4,2,0.0184192657470703,0,728,444,249,185,694.25,446.8333333333333,0.020693302154541016,1472,904
heart-long-beach,4,3,0.072322130203247,0,4776,1441,999,349,4256.263888888889,1536.8333333333333,0.028783321380615234,2216,12384
heart-long-beach,4,5,0.2145357131958007,0,16349,3582,2904,560,16989.455729166668,3751.9305555555557,0.035431623458862305,2616,974982
datatrieve,2,2,0.0103921890258789,0,399,137,86,86,391.26666666666665,120.46666666666667,0.011428356170654297,842,466
datatrieve,2,3,0.0197148323059082,0,1095,267,183,166,1138.75,277.5777777777778,0.014481544494628906,1049,4526
datatrieve,2,5,0.0286457538604736,0,1801,369,287,233,1806.3628472222222,366.54777777777775,0.016368389129638672,1142,174437
jEdit_4.0_4.2,2,2,0.011608600616455,0,368,267,148,138,367.5,260.5,0.011748552322387695,786,407
jEdit_4.0_4.2,2,3,0.0302186012268066,0,1682,536,352,259,1907.0,660.8333333333334,0.016250133514404297,1198,3683
jEdit_4.0_4.2,2,5,0.0611805915832519,0,4099,780,482,408,2897.788541666667,641.7833333333333,0.017264604568481445,1183,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.027175426483154,0,276,276,143,135,276.0,276.0,7.3768699169158936,627,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.46179461479187,0,1526,1209,623,304,1651.0,1306.0,9.558979988098145,1102,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,28.982898235321045,0,5036,2600,1330,412,7201.520833333333,2423.5,10.779386043548584,1446,68406
pitt1_2,WOOD,2,0.006458044052124,0,170,45,27,27,159.45833333333334,47.375,0.4962167739868164,338,301
pitt1_2,WOOD,3,0.0082216262817382,0,324,60,35,35,306.06944444444446,55.34722222222222,0.007623195648193359,414,2325
pitt1_2,WOOD,5,0.008681297302246,0,368,61,35,35,325.1177083333333,52.09027777777778,0.007944107055664062,413,55455
backache,2,2,0.0570521354675293,0,3200,1485,803,364,3170.9285714285716,1136.2087912087911,0.07602787017822266,6736,4187
backache,2,3,0.2988042831420898,0,18725,7222,3911,676,23013.5,7876.172161172161,0.10254502296447754,8836,125672
backache,2,5,3.0940728187561035,0,200434,71183,28561,1351,391204.1673878205,135267.36868131868,0.1259901523590088,10527,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.7643024921417236,0,37779,11613,6155,599,42801.04925373134,11228.876119402985,1.2455878257751465,93467,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,17.608415365219116,0,1171116,45389,28930,1019,937296.4600746268,17558.011940298507,1.6210212707519531,118326,6266176
