dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5646181106567383,0,4021,2741,2079,234
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.02131366729736328,0,325,275,136,132
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05707955360412598,0,1575,1525,782,218
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.16907191276550293,0,4700,1530,2493,218
mfeat-karhunen,8,2,1.1194822788238525,0,31631,491,13132,348
mfeat-karhunen,8,3,0.6461501121520996,0,32215,535,13716,383
mfeat-karhunen,8,5,0.6510660648345947,0,32221,536,13722,384
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.004120826721191406,0,7,5,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.003991127014160156,0,7,5,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.004269599914550781,0,7,5,4,4
Iris_UCI_,Iris-virginica,2,0.006063699722290039,0,82,34,42,27
Iris_UCI_,Iris-virginica,3,0.00640559196472168,0,98,40,55,32
Iris_UCI_,Iris-virginica,5,0.006476640701293945,0,98,40,55,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.013915777206420898,0,7,5,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.01364755630493164,0,7,5,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.014452219009399414,0,7,5,4,4
thyroid_ann,2,2,0.053328752517700195,0,1089,486,471,235
thyroid_ann,2,3,0.17252326011657715,0,4208,1032,2540,484
thyroid_ann,2,5,0.3922450542449951,0,8689,4872,6407,656
seeds,2,2,0.00900721549987793,0,238,120,112,70
seeds,2,3,0.01223611831665039,0,439,182,255,147
seeds,2,5,0.013967752456665039,0,504,225,320,192
hv_no_noise,0,2,1.3611223697662354,0,80200,20200,26667,365
hv_no_noise,0,3,22.123111963272095,0,727000,667000,350067,431
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.02592754364013672,0,1282,291,531,252
statlog_australian,1,3,0.04218292236328125,0,2222,408,1309,372
statlog_australian,1,5,0.044123172760009766,0,2311,458,1395,414
hiv_schilling,1,2,0.18492650985717773,0,11038,271,3159,310
hiv_schilling,1,3,0.18805646896362305,0,11162,271,3279,310
hiv_schilling,1,5,0.1867070198059082,0,11162,271,3279,310
heart-long-beach,4,2,0.015329122543334961,0,637,375,303,188
heart-long-beach,4,3,0.0434575080871582,0,2487,1139,1633,320
heart-long-beach,4,5,0.10767459869384766,0,4544,2431,3566,400
datatrieve,2,2,0.011061906814575195,0,408,136,137,86
datatrieve,2,3,0.014244556427001953,0,597,216,283,168
datatrieve,2,5,0.016713380813598633,0,700,313,386,238
jEdit_4.0_4.2,2,2,0.011119604110717773,0,406,230,181,139
jEdit_4.0_4.2,2,3,0.02242898941040039,0,1105,343,714,234
jEdit_4.0_4.2,2,5,0.024511098861694336,0,1183,389,787,273
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.012898206710815,0,325,275,143,134
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.12784695625305,0,1575,1208,787,227
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,45.778703927993774,0,3764,2599,1887,234
pitt1_2,WOOD,2,0.006467103958129883,0,115,44,56,27
pitt1_2,WOOD,3,0.006909847259521484,0,140,59,72,35
pitt1_2,WOOD,5,0.007109165191650391,0,141,60,72,35
backache,2,2,0.04586601257324219,0,2792,968,1431,358
backache,2,3,0.16355538368225098,0,10332,3425,6106,570
backache,2,5,1.2641346454620361,0,31926,17463,11672,753
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9526510238647461,0,39116,10199,17628,410
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.329450845718384,0,397079,12981,209601,410
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.506006717681885,0,397780,12981,210266,410
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0365002155303955,0,325,275,134,129
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1079089641571045,0,1575,1525,766,208
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.4445202350616455,0,7825,4650,3909,208
thyroid_hypothyroid,hypothyroid,2,0.01816248893737793,0,412,228,189,167
thyroid_hypothyroid,hypothyroid,3,0.046936750411987305,0,1572,908,1041,346
thyroid_hypothyroid,hypothyroid,5,0.41362738609313965,0,10140,9476,9130,636
grammatical_a3,1,2,0.4446074962615967,0,22101,1004,21471,604
grammatical_a3,1,3,0.5421991348266602,0,27295,3280,26664,661
grammatical_a3,1,5,1.7139148712158203,0,44206,19651,43575,679
crx,positive,2,0.028895139694213867,0,1387,346,572,261
crx,positive,3,0.04964852333068848,0,2614,496,1505,392
crx,positive,5,0.05358552932739258,0,2777,582,1661,460
GermanCredit_UCI_,2,2,0.05126452445983887,0,2776,802,1352,258
GermanCredit_UCI_,2,3,0.1545729637145996,0,8012,2300,4861,374
GermanCredit_UCI_,2,5,0.31760740280151367,0,12278,4777,7969,472
pc1,2,2,0.0539095401763916,0,2850,291,806,329
pc1,2,3,0.07538914680480957,0,4023,1214,1963,484
pc1,2,5,0.5407395362854004,0,15329,12234,13269,671
mfeat-pixel,8,2,0.8318591117858887,0,35318,3460,29578,901
mfeat-pixel,8,3,2.4079227447509766,0,100525,16712,94785,1346
mfeat-pixel,8,5,50.60199451446533,0,321454,162385,315714,1672
hv_noise,0,2,1.3348658084869385,0,80200,20200,26173,422
hv_noise,0,3,21.407438039779663,0,727000,667000,349573,700
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.04835700988769531,0,1962,245,835,281
image,WINDOW,3,0.058069705963134766,0,2587,503,1460,392
image,WINDOW,5,0.07706093788146973,0,3374,1070,2247,462
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.277646780014038,0,325,275,132,127
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.444172620773315,0,1575,1525,747,225
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,90.11826539039612,0,7825,4650,3885,225
polish_bankruptcy_4year,1,2,0.7961947917938232,0,32641,1139,12510,454
polish_bankruptcy_4year,1,3,1.0262563228607178,0,40957,3697,20826,593
polish_bankruptcy_4year,1,5,3.474005699157715,0,73022,29616,52891,681
lung,3,2,0.045832157135009766,0,2711,774,1054,235
lung,3,3,0.13014960289001465,0,8142,2999,4280,358
lung,3,5,0.522611141204834,0,17583,8323,12714,443
credit,+,2,0.02766728401184082,0,1387,293,580,266
credit,+,3,0.04469919204711914,0,2330,443,1364,395
credit,+,5,0.048537254333496094,0,2496,524,1524,455
lymphography,fibrosis,2,0.013089179992675781,0,410,208,264,150
lymphography,fibrosis,3,0.02376246452331543,0,1077,331,893,245
lymphography,fibrosis,5,0.025598764419555664,0,1176,415,992,281
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.058966636657714844,0,191,151,109,103
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.08551740646362305,0,586,251,434,184
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.08561182022094727,0,586,251,434,184
ring,0,2,0.10735869407653809,0,3240,271,1556,365
ring,0,3,0.13395071029663086,0,4380,271,2696,365
ring,0,5,0.13512706756591797,0,4380,271,2696,365
mc1,2,2,0.17593097686767578,0,3668,633,1248,331
mc1,2,3,0.41225504875183105,0,9135,5349,6665,607
mc1,2,5,18.29918670654297,0,139686,128409,137125,943
thyroid_allhyper,goitre.,2,0.03915691375732422,0,1192,380,550,271
thyroid_allhyper,goitre.,3,0.09362006187438965,0,3702,1060,2704,498
thyroid_allhyper,goitre.,5,0.42139482498168945,0,12270,9628,11266,735
mammographics,1,2,0.00842738151550293,0,194,117,87,66
mammographics,1,3,0.012658119201660156,0,430,207,225,133
mammographics,1,5,0.014132976531982422,0,489,245,280,165
dresses,1,2,0.04502606391906738,0,2802,613,1058,224
dresses,1,3,0.10132122039794922,0,6301,1357,3067,297
dresses,1,5,0.1330711841583252,0,7424,1676,3839,303
