dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
vert3,NO,2,0.009858369827270508,0,265,191,128,115
vert3,NO,3,0.025147438049316406,0,1137,293,516,177
vert3,NO,5,0.03316688537597656,0,1589,299,724,186
CongressionalVotingRecords_UCI_,republican,2,0.026504039764404297,0,1111,349,490,211
CongressionalVotingRecords_UCI_,republican,3,0.06364679336547852,0,3079,559,1936,348
CongressionalVotingRecords_UCI_,republican,5,0.18344616889953613,0,9394,1127,7583,653
pitt2_2,WOOD,2,0.007215738296508789,0,161,52,58,27
pitt2_2,WOOD,3,0.009837627410888672,0,340,77,123,40
pitt2_2,WOOD,5,0.01148080825805664,0,401,79,145,41
statlog_vehicle,opel,2,0.055732011795043945,0,2521,887,1044,302
statlog_vehicle,opel,3,0.22250890731811523,0,11817,1439,5978,492
statlog_vehicle,opel,5,0.7695684432983398,0,41349,3731,24810,798
pitt2_1,DECK,2,0.00742650032043457,0,192,72,76,39
pitt2_1,DECK,3,0.011654138565063477,0,421,118,169,58
pitt2_1,DECK,5,0.01282644271850586,0,492,125,196,60
grammatical_a8,1,2,3.3675339221954346,0,162800,2081,126582,741
grammatical_a8,1,3,17.889995574951172,0,913579,10574,744282,1125
grammatical_a8,1,5,398.3273251056671,0,20290781,189788,16718397,1338
grammatical_a6,1,2,2.0405216217041016,0,96141,2587,70677,716
grammatical_a6,1,3,22.656128883361816,0,1137101,48553,878860,1525
grammatical_a6,1,5,-1.0,1,-1,-1,-1,-1
auto6_2,class5,2,0.2447514533996582,0,11864,1282,5726,233
auto6_2,class5,3,1.1793866157531738,0,60056,3184,34194,429
auto6_2,class5,5,2.781707525253296,0,148694,2849,84104,499
auto1,class1,2,0.02609419822692871,0,801,798,405,231
auto1,class1,3,0.21541643142700195,0,9789,7480,4968,428
auto1,class1,5,1.8967080116271973,0,91373,21119,48980,841
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,4.114681005477905,0,4601,4601,2297,361
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,43.10262417793274,0,124601,65070,61808,475
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,421.58395195007324,0,1181851,65070,602366,475
heart_cleverland,3,2,0.021145343780517578,0,802,479,379,218
heart_cleverland,3,3,0.07685375213623047,0,3854,849,2047,385
heart_cleverland,3,5,0.16834640502929688,0,9110,1027,5232,509
analcatdata_boxing1,1,2,0.007041454315185547,0,189,32,64,14
