dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.1688060760498047,0,7601,4462,2433,403
mfeat-karhunen,8,2,0.5410661697387695,0,27361,6907,6729,289
mfeat-karhunen,8,3,1.8635444641113281,0,109513,3258,3132,632
mfeat-karhunen,8,5,6.865189790725708,0,509077,7007,6446,1370
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0037593841552734375,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.0038683414459228516,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.003770112991333008,0,7,6,4,4
Iris_UCI_,Iris-virginica,2,0.005534172058105469,0,105,35,27,27
Iris_UCI_,Iris-virginica,3,0.006475687026977539,0,177,41,32,32
Iris_UCI_,Iris-virginica,5,0.006539106369018555,0,185,41,32,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.013501405715942383,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.013829708099365234,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.013942480087280273,0,7,6,4,4
thyroid_ann,2,2,0.0586700439453125,0,1219,966,466,252
thyroid_ann,2,3,0.33354783058166504,0,10515,6561,3585,600
thyroid_ann,2,5,6.293246507644653,0,226419,80779,59998,1049
seeds,2,2,0.008648157119750977,0,257,121,70,70
seeds,2,3,0.015802860260009766,0,813,210,153,143
seeds,2,5,0.021913766860961914,0,1261,245,201,184
hv_no_noise,0,2,1.1306366920471191,0,79601,20201,10100,288
hv_no_noise,0,3,36.17449998855591,0,2666801,667001,333500,360
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.030127286911010742,0,1239,805,436,276
statlog_australian,1,3,0.09114694595336914,0,5131,1690,1132,517
statlog_australian,1,5,0.2610330581665039,0,16418,3041,1988,906
hiv_schilling,1,2,0.14084243774414062,0,9101,1715,1232,386
hiv_schilling,1,3,0.9136674404144287,0,81541,1719,1233,389
hiv_schilling,1,5,0.9098665714263916,0,81761,1719,1233,389
heart-long-beach,4,2,0.018001317977905273,0,728,464,249,189
heart-long-beach,4,3,0.09214973449707031,0,6295,2144,1204,324
heart-long-beach,4,5,0.447192907333374,0,35411,8308,5354,506
datatrieve,2,2,0.01063990592956543,0,399,137,86,86
datatrieve,2,3,0.020156145095825195,0,1141,281,187,166
datatrieve,2,5,0.03229832649230957,0,2089,443,319,235
jEdit_4.0_4.2,2,2,0.011739492416381836,0,368,276,148,137
jEdit_4.0_4.2,2,3,0.032312631607055664,0,1883,652,417,262
jEdit_4.0_4.2,2,5,0.06379890441894531,0,4449,883,564,395
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.031505584716797,0,276,276,143,134
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.377008438110352,0,1526,1209,623,297
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,28.615057706832886,0,5036,2600,1330,366
pitt1_2,WOOD,2,0.00677943229675293,0,170,45,27,27
pitt1_2,WOOD,3,0.008329391479492188,0,324,60,35,35
pitt1_2,WOOD,5,0.008779287338256836,0,368,61,35,35
backache,2,2,0.059883832931518555,0,3293,1757,907,360
backache,2,3,0.5903525352478027,0,40179,17980,9469,614
backache,2,5,12.690213203430176,0,873150,357026,190586,1087
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.8368055820465088,0,44044,19664,10459,581
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,23.56045699119568,0,1660786,209195,126931,864
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,190.92821335792542,0,15610002,209131,130857,869
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9223122596740723,0,276,276,134,131
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.4185070991516113,0,1526,1526,766,277
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,2.9810574054718018,0,7776,4651,2331,372
thyroid_hypothyroid,hypothyroid,2,0.02123236656188965,0,507,348,186,163
thyroid_hypothyroid,hypothyroid,3,0.09270048141479492,0,3947,2439,1241,340
thyroid_hypothyroid,hypothyroid,5,1.4241342544555664,0,72017,40086,19656,501
grammatical_a3,1,2,1.7430334091186523,0,112998,7918,7657,1284
grammatical_a3,1,3,39.732351303100586,0,2787034,198933,197680,3323
grammatical_a3,1,5,-1.0,1,-1,-1,-1,-1
crx,positive,2,0.03227591514587402,0,1392,879,463,298
crx,positive,3,0.11304306983947754,0,6405,1991,1316,536
crx,positive,5,0.29680657386779785,0,18580,2946,2306,858
GermanCredit_UCI_,2,2,0.07939529418945312,0,2612,1845,1021,220
GermanCredit_UCI_,2,3,0.4284336566925049,0,25801,9755,6311,394
GermanCredit_UCI_,2,5,2.006945848464966,0,122670,38956,28877,873
pc1,2,2,0.05861210823059082,0,2730,1511,751,337
pc1,2,3,0.491896390914917,0,29956,10372,6963,556
pc1,2,5,6.820048809051514,0,474420,120038,86867,1356
mfeat-pixel,8,2,4.216297149658203,0,241337,29229,25884,1075
mfeat-pixel,8,3,68.6086106300354,0,4248237,264155,261889,1940
mfeat-pixel,8,5,-1.0,1,-1,-1,-1,-1
hv_noise,0,2,1.1026747226715088,0,79601,20209,10101,650
hv_noise,0,3,34.68694829940796,0,2667473,667010,333501,1030
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.05065631866455078,0,1979,1039,699,315
image,WINDOW,3,0.20789313316345215,0,11399,3044,2835,608
image,WINDOW,5,1.1429073810577393,0,71905,12075,12003,1043
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.12919020652771,0,276,276,132,131
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.644508838653564,0,1526,1526,747,310
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,38.273841857910156,0,7776,4651,2318,426
polish_bankruptcy_4year,1,2,0.8470792770385742,0,32049,26027,12235,605
polish_bankruptcy_4year,1,3,33.6044864654541,0,1775561,548600,468556,1327
polish_bankruptcy_4year,1,5,-1.0,1,-1,-1,-1,-1
lung,3,2,0.08139157295227051,0,5896,1268,416,227
lung,3,3,0.6144099235534668,0,51928,9236,2783,353
lung,3,5,4.909205913543701,0,430492,60466,30423,494
credit,+,2,0.03231358528137207,0,1361,846,458,294
credit,+,3,0.10726594924926758,0,5938,1806,1226,538
credit,+,5,0.27475905418395996,0,17182,2820,2114,951
lymphography,fibrosis,2,0.01835036277770996,0,870,209,174,151
lymphography,fibrosis,3,0.06286931037902832,0,4768,609,552,225
lymphography,fibrosis,5,0.1761019229888916,0,15640,1096,1032,264
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.056757450103759766,0,156,152,109,104
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.07552909851074219,0,546,300,258,183
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.0878143310546875,0,796,450,408,292
ring,0,2,0.11382770538330078,0,3121,1987,1287,383
ring,0,3,1.069098711013794,0,51565,5961,3456,883
ring,0,5,4.304098606109619,0,251849,13208,8085,1688
mc1,2,2,0.19531846046447754,0,4172,2471,1185,310
mc1,2,3,2.2304675579071045,0,73691,31698,20147,822
mc1,2,5,119.13464045524597,0,5059922,1712303,1400665,1827
thyroid_allhyper,goitre.,2,0.046844482421875,0,1469,924,533,277
thyroid_allhyper,goitre.,3,0.34432029724121094,0,15573,7357,5116,619
thyroid_allhyper,goitre.,5,9.609729290008545,0,496926,149665,127133,1026
