dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting
lung,3,5,1.5295212268829346,0,133797,12470,9053,517
credit,+,2,0.0279843807220459,0,1168,647,368,279
credit,+,3,0.0815880298614502,0,4465,1179,819,508
credit,+,5,0.21134257316589355,0,12639,1889,1414,894
lymphography,fibrosis,2,0.01781916618347168,0,870,209,174,148
lymphography,fibrosis,3,0.04804062843322754,0,3381,393,365,236
lymphography,fibrosis,5,0.10365772247314453,0,8486,479,471,269
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.05508136749267578,0,156,152,109,104
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.06929874420166016,0,546,291,249,189
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.08015036582946777,0,796,419,377,276
ring,0,2,0.11139464378356934,0,3121,1187,836,385
ring,0,3,0.7554559707641602,0,34321,3301,2062,930
ring,0,5,2.5311336517333984,0,138885,6769,4053,1601
mc1,2,2,0.12740063667297363,0,2314,901,670,343
mc1,2,3,0.7764537334442139,0,23953,8021,6035,896
mc1,2,5,23.392491340637207,0,851781,246214,180202,3214
thyroid_allhyper,goitre.,2,0.04239940643310547,0,1289,623,421,266
thyroid_allhyper,goitre.,3,0.22626090049743652,0,9423,2843,2124,830
thyroid_allhyper,goitre.,5,4.343961000442505,0,218316,49505,38702,1649
mammographics,1,2,0.007961750030517578,0,183,118,66,66
mammographics,1,3,0.015616655349731445,0,664,261,148,133
mammographics,1,5,0.018105745315551758,0,821,254,189,159
dresses,1,2,0.07734942436218262,0,6306,731,368,228
dresses,1,3,0.4977426528930664,0,46875,2199,1198,428
